record_id,date,production_line_efficiency,downtime_hours,yield_rate,defect_rate
REC-68800797,2021-10-07,96.15,4.34,80.87,0.81
REC-70597444,2024-06-11,95.21,1.74,99.22,2.08
REC-43273328,2024-04-02,88.19,5.98,95.86,3.28
REC-18593410,2021-11-26,82.39,0.69,88.74,0.49
REC-12823170,2024-08-22,87.96,3.97,84.74,1.17
REC-88979095,2023-04-25,75.01,1.68,80.73,3.68
REC-10965138,2024-08-18,85.94,9.37,80.79,0.61
REC-94705205,2023-01-24,79.69,9.73,91.6,1.27
REC-40728046,2022-09-30,72.82,6.73,88.88,4.34
REC-14216175,2021-07-14,73.39,7.96,98.37,3.0
REC-19510312,2020-11-04,96.12,7.82,91.34,3.69
REC-41944441,2024-01-02,78.91,6.49,86.57,3.15
REC-99788677,2023-11-13,92.78,5.0,90.85,4.76
REC-38754377,2020-06-10,91.54,9.56,80.36,0.98
REC-27758595,2020-01-26,77.7,2.85,86.15,4.02
REC-42614537,2020-08-07,93.99,1.85,85.91,3.97
REC-64634663,2020-12-19,96.53,2.28,84.24,3.05
REC-22660194,2021-01-11,74.49,4.24,83.06,1.18
REC-98447167,2023-04-05,71.75,1.42,85.49,2.99
REC-57553014,2020-03-17,78.22,0.79,81.71,4.47
REC-65177213,2022-12-10,96.4,6.51,90.66,1.62
REC-17270733,2022-11-30,75.26,6.9,84.02,2.68
REC-18135295,2023-08-26,70.6,7.37,95.37,1.22
REC-55540424,2024-03-02,79.09,2.63,87.2,0.44
REC-43374088,2021-10-22,95.54,2.09,98.61,0.58
REC-35529407,2024-05-16,74.61,2.24,99.15,2.87
REC-70211891,2019-10-07,81.96,1.46,87.35,0.34
REC-66623995,2020-08-22,95.54,0.0,80.35,3.01
REC-47385696,2024-03-27,75.12,0.75,95.65,1.33
REC-43528453,2021-12-08,82.78,1.31,97.73,2.25
REC-69476001,2022-07-24,87.46,6.81,83.79,3.09
REC-16789850,2020-08-13,95.33,0.98,89.76,0.75
REC-11980765,2022-03-01,79.46,6.88,88.75,1.27
REC-41726318,2023-05-14,83.52,8.82,82.11,4.94
REC-64547971,2021-01-05,83.86,9.92,99.41,4.71
REC-74606833,2023-07-12,93.08,6.25,87.64,1.03
REC-63826716,2019-09-12,73.42,4.86,98.41,2.6
REC-32097220,2021-11-28,78.21,9.28,93.52,2.48
REC-10289289,2023-12-05,91.85,7.76,93.12,0.89
REC-45594951,2021-03-10,74.52,3.42,88.27,3.79
REC-48285503,2023-12-27,77.4,7.26,99.84,0.5
REC-84593961,2020-07-28,70.16,7.61,80.71,3.73
REC-30776478,2022-03-17,91.66,8.86,91.86,1.96
REC-49823450,2023-12-27,73.12,2.25,94.06,0.26
REC-17849494,2021-05-11,91.23,7.89,90.35,2.2
REC-18181586,2020-12-19,89.13,4.96,83.57,3.43
REC-17672593,2022-11-06,87.59,6.98,98.59,3.91
REC-88406989,2021-01-15,72.42,7.28,89.93,2.18
REC-77491435,2024-04-03,78.47,2.62,84.94,4.53
REC-31130263,2024-03-06,80.38,3.15,95.44,0.43
REC-78159587,2019-09-03,99.44,2.57,93.08,0.99
REC-34941004,2022-06-05,90.51,5.45,99.61,1.14
REC-89864260,2023-10-29,72.93,8.62,89.2,3.75
REC-41568532,2019-11-01,92.7,5.19,84.1,4.39
REC-26090908,2020-08-14,86.16,4.98,82.11,3.28
REC-87701200,2022-10-03,93.94,3.96,98.3,2.67
REC-93131979,2022-04-14,75.53,8.94,93.09,0.76
REC-66267415,2021-09-14,91.76,3.23,99.94,4.9
REC-52462441,2020-02-28,94.57,5.41,94.2,1.57
REC-37415205,2021-09-19,72.62,7.19,88.4,4.53
REC-42035886,2024-06-29,92.18,1.06,86.3,0.02
REC-63121477,2020-05-03,76.38,0.33,86.08,3.27
REC-96637649,2020-05-25,81.69,3.8,84.53,1.91
REC-71367643,2023-10-20,99.18,8.26,93.99,4.2
REC-19736572,2020-04-04,72.9,2.42,80.25,2.34
REC-71510041,2024-03-14,75.56,0.79,84.79,3.97
REC-19832887,2020-09-26,97.29,6.69,96.59,4.39
REC-38609087,2020-10-04,83.36,7.89,92.79,3.38
REC-45594597,2023-09-17,70.09,0.4,92.08,4.54
REC-56843172,2024-05-06,70.23,2.19,80.73,0.54
REC-42787299,2021-01-27,80.36,5.07,97.48,2.47
REC-48250360,2021-12-03,78.9,7.18,99.08,3.61
REC-68812137,2024-02-27,81.07,1.21,88.38,3.76
REC-50603163,2023-04-08,88.38,8.74,94.48,0.6
REC-11049999,2021-06-21,97.3,8.08,84.32,2.33
REC-99038526,2024-04-03,83.5,5.79,95.19,0.49
REC-28024248,2021-05-18,96.7,3.46,83.09,0.13
REC-25492573,2022-04-27,87.41,5.6,82.11,0.84
REC-84252420,2023-01-23,70.7,7.56,89.17,1.45
REC-46553958,2022-11-05,81.57,3.4,90.83,0.77
REC-91178885,2023-05-25,90.32,2.35,96.61,2.72
REC-56020613,2024-01-27,87.08,6.21,84.03,1.98
REC-95125977,2023-07-05,92.38,5.49,81.15,3.4
REC-77834855,2020-09-11,85.67,5.63,88.82,3.03
REC-43704923,2021-10-11,73.28,8.54,88.78,4.23
REC-22388090,2021-07-31,70.92,8.72,90.54,3.16
REC-47135391,2020-03-18,78.84,0.14,94.76,4.17
REC-10475894,2022-07-18,78.41,6.87,80.49,1.53
REC-27558317,2019-11-06,93.84,7.07,81.0,0.36
REC-31687165,2024-05-18,76.78,6.4,99.58,3.02
REC-84045292,2021-08-16,85.79,4.63,84.69,1.52
REC-85283645,2021-07-17,78.15,4.02,82.05,0.95
REC-25015458,2019-09-24,94.8,1.3,91.3,4.33
REC-30005727,2020-04-09,88.98,7.04,80.09,0.83
REC-14835614,2020-03-02,73.14,4.99,87.7,4.33
REC-88183110,2021-08-13,81.13,8.7,94.61,3.24
REC-67684996,2020-03-29,91.4,1.99,97.8,1.44
REC-15614174,2019-12-08,91.28,9.49,80.63,3.68
REC-58942697,2022-06-24,76.59,1.32,97.14,2.88
REC-58024342,2020-04-09,87.12,5.68,93.26,2.74
REC-43491314,2024-01-16,98.12,6.03,89.47,0.3
REC-57469942,2021-09-10,91.77,6.2,97.92,4.24
REC-93303777,2022-01-14,91.75,5.39,81.21,3.45
REC-41774346,2023-10-19,72.29,2.75,96.14,2.3
REC-33763566,2021-06-28,95.61,2.42,99.21,0.98
REC-13326769,2024-04-03,99.44,1.9,95.85,4.54
REC-54585178,2020-10-17,83.75,7.81,99.2,3.82
REC-99913412,2024-07-11,95.44,7.29,81.91,2.14
REC-45810056,2024-07-27,81.15,3.92,95.09,4.59
REC-24508349,2023-09-09,99.23,0.28,96.8,3.76
REC-15197528,2021-09-25,78.47,3.53,97.88,4.73
REC-39854548,2023-09-10,70.98,6.36,87.29,1.48
REC-71780854,2023-02-17,86.17,2.82,88.5,0.19
REC-50962024,2021-04-15,70.04,7.29,99.34,1.12
REC-39920292,2020-06-21,99.99,4.06,84.41,3.81
REC-98588154,2020-06-29,84.46,3.62,98.98,3.16
REC-63481198,2023-05-03,94.11,1.22,82.5,4.25
REC-47393469,2022-09-06,86.86,9.47,89.93,1.9
REC-47463522,2023-04-10,86.77,5.01,94.12,2.67
REC-96098221,2023-03-02,95.96,1.57,86.2,1.45
REC-63643924,2023-08-22,86.47,2.88,86.14,1.76
REC-54446182,2020-02-17,72.16,2.05,87.63,4.91
REC-25480907,2020-07-03,70.34,4.5,99.54,0.52
REC-33966966,2020-03-08,92.2,6.31,90.99,3.45
REC-15134794,2023-02-03,70.45,9.65,85.02,3.38
REC-90070438,2022-07-22,76.39,9.39,80.13,3.86
REC-56397338,2020-08-06,95.19,1.89,93.45,4.89
REC-68571795,2021-10-13,99.89,2.29,90.94,3.35
REC-25521714,2021-04-19,97.34,3.55,88.5,1.08
REC-87388337,2021-04-14,99.63,2.91,95.41,2.14
REC-44188276,2024-03-25,91.16,4.28,88.85,3.25
REC-68526649,2023-06-26,97.81,1.05,95.29,2.05
REC-79782527,2020-11-10,94.18,0.08,98.49,2.22
REC-36445607,2023-04-04,78.14,2.32,86.37,4.52
REC-67887757,2021-03-25,83.78,4.11,94.44,1.92
REC-99152472,2022-01-14,91.97,8.82,82.43,3.17
REC-93638503,2023-08-09,86.71,4.16,88.58,2.7
REC-99038359,2021-10-17,73.52,3.37,82.86,3.46
REC-50308572,2020-04-23,86.82,6.28,93.77,1.27
REC-51511484,2023-06-09,75.5,8.55,97.65,2.33
REC-53779528,2024-05-07,95.44,5.46,99.63,2.25
REC-49682169,2020-07-02,81.09,4.64,94.45,3.28
REC-35748341,2020-02-06,87.51,7.82,95.03,4.02
REC-99245317,2024-04-07,92.76,5.97,93.08,4.45
REC-33357554,2019-10-17,97.24,5.07,83.76,0.38
REC-64502486,2020-06-17,76.75,5.29,96.52,2.32
REC-10054484,2021-09-05,92.44,1.51,84.34,2.32
REC-48508907,2021-01-30,92.09,4.36,93.34,0.47
REC-67698610,2023-02-15,99.93,2.41,80.81,2.06
REC-72409658,2023-10-19,91.18,3.09,82.65,2.56
REC-69345683,2023-10-06,81.68,2.29,91.94,4.64
REC-78608612,2021-06-27,98.48,8.33,87.25,4.32
REC-32775593,2023-01-29,91.15,4.55,93.36,4.19
REC-48089166,2020-03-02,98.61,8.82,91.69,4.17
REC-99100953,2021-01-25,96.43,8.83,93.18,1.06
REC-22534217,2022-11-22,88.57,9.41,95.52,0.64
REC-51663795,2019-09-08,71.66,9.42,81.5,2.19
REC-36726767,2022-12-27,73.89,2.56,87.11,3.37
REC-13278320,2021-12-03,74.68,4.78,95.61,1.52
REC-42862209,2023-07-16,91.75,5.74,93.34,3.89
REC-92043803,2022-02-04,84.78,4.83,96.76,1.81
REC-71124923,2023-04-08,92.09,5.13,97.39,2.01
REC-94525678,2024-05-24,97.1,6.04,91.53,2.79
REC-61536717,2023-10-23,70.76,2.53,90.4,2.61
REC-63640499,2020-12-25,84.58,9.21,80.8,1.46
REC-29806690,2021-04-13,98.06,3.76,94.16,2.38
REC-24305904,2022-03-11,71.05,5.51,88.76,4.2
REC-39372360,2021-07-09,90.87,6.11,84.0,0.28
REC-79519112,2020-03-01,72.63,2.83,88.37,1.46
REC-16740197,2024-08-05,92.17,2.77,85.63,4.82
REC-26288475,2024-04-12,95.04,9.35,83.71,1.86
REC-27896471,2020-03-09,70.15,0.6,98.1,3.24
REC-99600766,2022-05-03,92.72,2.95,85.98,0.54
REC-85017682,2020-02-26,74.11,7.34,92.64,2.92
REC-69401199,2020-02-04,82.33,5.61,98.85,0.41
REC-67276174,2024-08-20,95.9,2.23,97.46,3.95
REC-69849511,2023-09-22,76.55,9.89,91.49,0.69
REC-73709724,2023-12-12,95.04,3.58,98.26,2.83
REC-44788100,2024-03-09,90.52,5.32,80.65,2.38
REC-95585469,2021-01-03,89.85,0.77,87.09,2.75
REC-79967676,2020-02-25,89.74,0.7,87.91,0.91
REC-94120751,2023-12-27,77.87,3.13,96.73,0.25
REC-46855845,2020-05-07,70.24,9.43,84.74,0.54
REC-20399639,2021-04-01,78.16,0.06,99.57,4.83
REC-41473195,2020-04-01,70.77,6.04,93.19,3.44
REC-55076693,2020-03-31,92.72,8.98,81.68,1.97
REC-82498004,2021-09-01,78.4,2.78,80.72,4.63
REC-28572252,2023-02-07,80.92,5.66,80.13,0.31
REC-41039390,2020-09-08,76.73,2.26,96.35,4.65
REC-30509175,2024-07-06,91.83,4.84,93.88,2.76
REC-18620650,2021-10-05,71.7,0.35,87.84,3.49
REC-64707061,2024-08-04,86.37,1.06,80.91,3.28
REC-82828034,2020-01-03,89.78,5.78,97.32,1.45
REC-65804273,2020-05-13,78.37,1.29,81.99,3.02
REC-37760841,2023-03-27,71.83,2.88,81.87,4.82
REC-62274692,2024-08-19,83.92,9.43,86.48,3.31
REC-87267850,2024-06-23,73.79,0.28,92.45,4.03
REC-74019136,2024-02-12,87.76,1.66,80.49,1.81
REC-57212267,2022-05-11,97.01,7.92,93.53,3.4
REC-62343121,2021-11-20,90.54,9.03,96.75,0.64
REC-82238741,2021-05-28,73.55,0.0,94.24,1.78
REC-90967191,2022-05-05,89.99,9.89,84.51,1.95
REC-75529051,2021-09-12,94.37,3.27,86.11,2.01
REC-46632757,2021-12-05,94.12,4.26,99.89,0.46
REC-75181765,2023-01-13,73.24,4.78,91.71,2.71
REC-62191530,2020-10-12,77.57,3.08,92.27,4.49
REC-99774697,2022-03-22,91.97,9.24,99.5,4.17
REC-32151928,2023-07-23,80.37,8.16,89.33,0.38
REC-27129912,2022-05-11,88.49,4.57,87.94,2.28
REC-13619375,2020-04-14,81.75,1.63,94.69,1.04
REC-89442503,2019-09-30,97.24,3.96,85.93,0.72
REC-21267237,2023-07-26,97.47,3.6,86.14,0.98
REC-28213276,2024-06-16,84.44,8.1,99.01,0.11
REC-34391257,2020-07-08,97.07,3.83,84.33,2.21
REC-44917589,2020-04-16,83.36,0.15,84.95,4.33
REC-53936531,2024-03-29,86.29,3.74,92.51,0.06
REC-71028710,2021-06-25,74.36,5.06,81.24,0.36
REC-55298556,2023-12-21,85.75,4.51,86.61,2.95
REC-47346970,2021-12-03,91.86,0.47,98.56,0.46
REC-43859311,2020-10-17,98.7,5.99,94.57,1.58
REC-73123515,2022-08-21,78.42,3.5,95.65,4.96
REC-82399599,2020-04-02,91.93,4.2,91.57,4.16
REC-56970882,2021-09-29,90.26,3.96,82.66,0.79
REC-97260863,2022-10-24,80.5,2.44,93.12,0.99
REC-97477029,2022-02-03,82.37,1.96,90.26,0.65
REC-14164775,2021-01-04,92.04,0.24,91.7,4.71
REC-36757737,2023-05-25,73.65,5.88,86.32,3.13
REC-93394260,2024-04-15,87.82,5.9,81.35,4.16
REC-42016960,2022-03-29,93.96,9.33,80.4,0.77
REC-73560289,2024-03-02,79.59,0.57,82.75,0.0
REC-85694715,2019-09-26,89.37,9.35,86.07,3.91
REC-72415804,2024-05-21,79.37,4.27,92.9,3.73
REC-59512272,2022-03-20,74.29,6.58,92.83,0.13
REC-91321540,2020-07-19,95.72,7.65,82.93,3.45
REC-31980274,2020-10-23,74.12,9.52,86.58,3.31
REC-24508768,2021-12-01,89.15,3.07,97.19,4.8
REC-51870192,2020-08-25,83.83,8.29,96.59,3.55
REC-63238057,2020-07-30,71.42,9.61,93.58,3.16
REC-20200074,2024-05-16,81.07,3.57,86.88,2.6
REC-23676961,2020-12-27,75.87,8.2,92.97,2.09
REC-90585882,2021-12-26,81.29,5.71,89.57,4.31
REC-85958181,2022-01-24,82.92,1.19,90.25,1.74
REC-56600900,2021-06-17,81.75,8.02,86.82,2.22
REC-67495923,2022-08-02,92.64,2.49,90.77,4.96
REC-19255216,2021-05-26,99.76,9.51,82.74,2.69
REC-96911784,2021-11-30,73.2,9.53,81.2,1.49
REC-11698142,2023-12-20,71.28,8.65,82.37,0.86
REC-75793759,2023-10-28,94.09,9.81,92.12,2.52
REC-68186525,2021-10-21,92.18,6.46,83.12,2.74
REC-95306788,2020-02-06,95.59,1.16,94.12,2.52
REC-30534124,2020-06-14,92.37,8.26,93.93,4.62
REC-33640702,2023-04-10,77.12,3.0,92.86,3.0
REC-97302916,2022-01-08,90.52,0.25,93.8,1.58
REC-92666356,2020-01-16,84.52,1.23,86.15,4.63
REC-74893936,2019-09-13,97.49,3.28,87.44,3.8
REC-68461818,2022-07-04,72.61,4.87,93.83,1.31
REC-53258988,2020-10-12,95.45,3.63,95.88,4.7
REC-21631697,2021-11-23,83.93,6.19,89.61,3.31
REC-70505620,2021-01-16,82.81,4.75,97.96,2.63
REC-72372114,2023-06-05,81.63,1.38,94.76,4.28
REC-55150390,2024-05-12,73.58,3.28,96.31,2.99
REC-76344695,2023-04-22,94.83,7.4,95.78,0.6
REC-34406132,2024-06-09,91.58,9.3,90.55,1.29
REC-38470244,2019-10-02,99.09,7.28,98.45,3.81
REC-44675473,2020-08-14,94.39,2.57,95.49,1.93
REC-47535126,2020-04-22,80.09,9.21,80.24,2.76
REC-84597009,2020-12-08,73.18,8.37,84.8,0.97
REC-79340535,2024-04-23,95.32,2.62,88.43,0.2
REC-21490777,2019-12-22,99.1,8.65,92.02,3.5
REC-64549859,2022-10-23,75.16,5.47,83.29,0.32
REC-84514489,2024-08-15,72.39,6.83,98.65,2.88
REC-73900135,2024-05-14,95.35,4.76,93.4,2.01
REC-70152969,2020-12-05,83.28,8.47,84.12,4.76
REC-22489409,2023-04-29,97.4,3.88,96.59,0.67
REC-39742165,2020-10-01,70.97,2.36,86.21,2.0
REC-42655866,2020-01-09,95.52,7.41,90.85,3.27
REC-99115205,2022-04-16,75.04,3.55,88.0,0.29
REC-73519947,2022-10-08,90.75,6.61,80.77,1.84
REC-56138336,2020-01-03,78.85,4.75,95.14,3.45
REC-83871890,2022-09-17,85.08,8.39,93.02,3.08
REC-57219209,2021-06-15,83.7,3.29,81.05,2.25
REC-46361787,2021-10-16,70.58,1.89,88.29,4.68
REC-43742830,2020-07-17,97.27,7.85,89.75,4.73
REC-26194158,2022-09-04,87.63,8.21,87.85,2.24
REC-52352128,2024-06-06,80.42,7.94,92.5,4.69
REC-81922443,2023-02-15,98.68,2.37,97.65,0.48
REC-35708194,2020-12-25,88.34,3.71,95.44,0.85
REC-74988034,2021-09-06,75.63,7.51,84.72,0.72
REC-89133014,2021-01-18,97.77,6.6,87.78,0.66
REC-90099897,2021-03-05,96.67,1.61,83.46,1.33
REC-23492385,2023-03-05,92.92,5.14,95.59,2.61
REC-49761527,2019-11-18,81.86,6.87,96.3,2.09
REC-58436637,2021-03-12,78.69,2.39,84.27,2.06
REC-50569669,2022-06-30,80.76,2.68,88.64,0.46
REC-81690398,2023-03-04,92.99,3.04,96.23,1.47
REC-46817443,2021-10-12,82.94,5.69,80.04,1.3
REC-17318358,2021-12-08,73.74,6.52,81.05,2.23
REC-26948946,2021-01-08,89.32,8.34,91.55,3.23
REC-23769080,2020-08-02,76.61,1.03,91.7,2.44
REC-87049595,2022-12-03,77.72,1.36,85.2,1.93
REC-73001391,2019-12-31,83.92,7.89,92.06,3.27
REC-69118721,2023-09-03,86.18,2.55,95.36,3.76
REC-34744872,2021-07-24,78.26,3.98,98.63,1.69
REC-43887075,2021-05-14,73.08,0.12,82.79,3.58
REC-25312516,2023-08-02,86.52,1.92,82.04,4.56
REC-63782042,2022-08-23,96.09,1.89,88.02,4.74
REC-19943140,2022-04-07,70.8,7.35,92.51,2.9
REC-30364454,2021-08-09,75.52,1.06,96.26,2.89
REC-85543051,2021-07-25,98.74,0.33,91.6,0.83
REC-21432787,2019-11-14,74.4,6.46,84.66,0.78
REC-25898299,2021-04-24,86.94,2.52,98.31,1.33
REC-91378577,2023-01-21,84.07,0.71,96.37,1.68
REC-80138498,2022-06-17,74.95,1.25,87.32,1.15
REC-70467027,2022-01-14,75.5,0.07,89.34,3.43
REC-49910061,2020-04-04,83.13,3.1,95.24,4.68
REC-50987442,2022-01-16,77.71,7.19,80.56,1.88
REC-91823275,2022-08-27,97.38,1.77,80.14,4.03
REC-37888820,2024-01-01,92.03,5.22,84.26,3.91
REC-45520201,2023-01-25,72.1,0.57,82.41,2.9
REC-31079846,2024-03-24,80.85,5.35,99.92,2.37
REC-33328859,2022-06-26,70.86,6.44,85.54,2.25
REC-31009452,2019-11-26,88.96,4.35,90.5,1.0
REC-64830300,2020-08-25,88.84,8.3,88.31,1.29
REC-89699989,2021-11-21,73.92,2.91,97.38,4.52
REC-49092160,2021-03-09,89.11,8.99,89.13,0.75
REC-41068214,2024-08-09,85.52,0.84,99.69,3.33
REC-47945817,2021-12-04,82.38,1.0,90.18,0.12
REC-19553585,2019-12-29,80.98,1.04,94.05,1.5
REC-45507920,2020-08-03,81.06,7.7,96.22,2.0
REC-67061186,2023-05-14,99.05,1.48,98.82,0.91
REC-83089925,2022-08-11,87.01,9.32,93.32,4.11
REC-96924061,2022-05-03,89.45,1.72,97.45,3.07
REC-45652586,2023-05-19,92.05,8.66,90.42,3.35
REC-19584466,2024-01-07,91.6,1.01,92.46,1.78
REC-32269779,2020-08-26,83.54,1.17,89.07,4.27
REC-89865458,2022-12-11,94.16,3.39,81.11,2.77
REC-68942178,2024-07-28,73.19,7.78,83.41,2.24
REC-72907576,2021-04-14,83.73,7.6,84.12,3.55
REC-64023778,2021-11-01,96.23,3.53,94.45,1.6
REC-77172238,2020-01-17,73.82,9.15,89.87,2.27
REC-76276072,2023-05-18,74.54,2.85,87.52,3.78
REC-20796722,2019-09-07,92.21,1.18,95.13,0.48
REC-67985905,2024-02-03,91.7,1.36,96.72,0.77
REC-91029073,2024-03-31,95.09,5.12,90.54,2.81
REC-13471527,2021-05-06,80.8,0.9,85.14,0.46
REC-40725714,2022-10-07,70.04,8.94,90.43,1.31
REC-46173157,2023-05-03,94.1,1.53,87.33,1.87
REC-33513701,2020-04-06,81.71,5.79,98.23,2.77
REC-79654147,2022-06-23,91.88,5.0,88.3,0.85
REC-47333543,2022-05-04,88.59,6.63,96.73,1.08
REC-88561612,2020-09-23,80.5,9.28,81.31,2.75
REC-95199362,2022-03-23,76.23,5.69,97.35,2.16
REC-22246348,2023-12-25,91.06,3.72,80.35,3.52
REC-56702542,2022-04-19,85.73,6.71,85.39,1.39
REC-54735895,2023-02-21,83.27,6.69,86.31,3.41
REC-99943797,2022-06-11,83.82,2.86,84.95,3.23
REC-31585546,2023-02-03,70.3,1.49,95.52,2.23
REC-65250068,2022-03-08,87.46,3.57,83.29,2.52
REC-48683937,2024-05-20,73.19,1.74,93.8,3.23
REC-83832717,2020-10-01,90.8,9.91,85.56,2.49
REC-71045700,2021-04-20,79.44,5.12,98.81,0.24
REC-52213778,2023-03-31,83.96,0.58,85.25,2.18
REC-53389073,2022-11-22,88.54,6.66,87.57,4.77
REC-64247457,2021-02-23,71.91,5.52,96.82,4.98
REC-10154493,2024-07-05,98.45,4.87,94.05,4.26
REC-72005415,2022-03-25,92.49,7.28,92.6,1.8
REC-17275149,2023-02-14,83.31,8.91,88.23,0.73
REC-79583757,2024-04-30,80.47,9.23,84.13,4.37
REC-93568503,2019-09-03,93.78,1.87,81.33,4.99
REC-93940940,2022-04-03,90.08,8.88,89.2,3.03
