record_id,date,inventory_level,order_fulfillment_rate,supplier_performance
REC-45812670,2020-04-10,5977,94.68,76.87
REC-24972279,2021-02-14,1722,86.6,65.6
REC-68353204,2024-03-18,6041,96.07,63.31
REC-70897765,2021-10-01,7579,88.22,61.25
REC-45351479,2021-01-21,6285,91.9,63.04
REC-33978249,2023-08-08,4207,93.13,94.92
REC-24282218,2022-11-23,4973,93.82,99.97
REC-95758349,2021-12-18,3142,89.79,93.16
REC-91734598,2024-05-28,5568,94.92,89.51
REC-30513739,2021-07-15,9105,90.26,90.69
REC-31682744,2022-06-05,2133,89.44,69.34
REC-81182864,2020-02-22,7586,99.17,78.7
REC-90388981,2021-08-13,6502,97.39,92.03
REC-75579548,2019-12-10,992,93.05,83.72
REC-25014631,2022-05-09,1054,89.22,70.11
REC-51273847,2023-01-30,2845,93.57,86.48
REC-17774584,2021-12-11,4386,95.48,67.57
REC-86149359,2020-03-25,9839,85.1,71.48
REC-21496211,2021-06-18,1535,94.49,97.28
REC-19289546,2024-06-29,7537,99.6,98.76
REC-26879290,2022-05-06,3456,99.16,64.09
REC-98550256,2021-06-23,1088,99.15,76.79
REC-83793389,2023-12-01,2355,93.15,66.37
REC-45575298,2023-01-13,3324,85.02,83.93
REC-91415657,2023-07-28,8565,95.21,75.82
REC-38427073,2020-11-18,2820,93.39,60.39
REC-36998038,2021-12-02,3141,85.62,86.82
REC-63551839,2020-11-08,8542,92.27,86.43
REC-68800797,2021-10-07,3738,92.05,89.77
REC-70597444,2024-06-11,6336,91.28,68.14
REC-43273328,2024-04-02,6663,85.44,75.82
REC-18593410,2021-11-26,9231,90.59,80.5
REC-12823170,2024-08-22,9544,85.14,83.54
REC-88979095,2023-04-25,5995,94.26,88.27
REC-10965138,2024-08-18,2039,89.05,62.28
REC-94705205,2023-01-24,1339,95.29,60.7
REC-40728046,2022-09-30,991,95.1,98.8
REC-14216175,2021-07-14,3819,97.97,90.74
REC-19510312,2020-11-04,674,99.66,76.28
REC-41944441,2024-01-02,9142,98.03,75.03
REC-99788677,2023-11-13,7110,87.53,85.7
REC-38754377,2020-06-10,8334,96.47,92.52
REC-27758595,2020-01-26,4982,86.52,79.43
REC-42614537,2020-08-07,3630,86.85,94.38
REC-64634663,2020-12-19,6384,94.02,92.77
REC-22660194,2021-01-11,3373,97.14,90.67
REC-98447167,2023-04-05,8941,88.85,85.28
REC-57553014,2020-03-17,5799,95.87,83.14
REC-65177213,2022-12-10,2575,88.51,81.6
REC-17270733,2022-11-30,761,93.43,98.31
REC-18135295,2023-08-26,336,86.8,98.97
REC-55540424,2024-03-02,9815,95.63,61.45
REC-43374088,2021-10-22,8697,92.45,99.69
REC-35529407,2024-05-16,8364,89.84,60.92
REC-70211891,2019-10-07,8529,87.62,80.1
REC-66623995,2020-08-22,945,98.14,71.11
REC-47385696,2024-03-27,5275,89.46,77.21
REC-43528453,2021-12-08,3392,94.36,81.08
REC-69476001,2022-07-24,7998,91.28,91.61
REC-16789850,2020-08-13,4692,93.22,78.18
REC-11980765,2022-03-01,2772,99.33,91.48
REC-41726318,2023-05-14,2347,88.4,95.58
REC-64547971,2021-01-05,1768,92.63,75.5
REC-74606833,2023-07-12,6611,99.52,71.82
REC-63826716,2019-09-12,2296,86.88,78.97
REC-32097220,2021-11-28,6367,90.83,66.55
REC-10289289,2023-12-05,7265,91.91,93.68
REC-45594951,2021-03-10,8574,99.48,79.54
REC-48285503,2023-12-27,6379,91.92,60.37
REC-84593961,2020-07-28,2259,96.76,82.17
REC-30776478,2022-03-17,797,90.52,77.94
REC-49823450,2023-12-27,2663,92.65,88.94
REC-17849494,2021-05-11,763,90.01,91.4
REC-18181586,2020-12-19,1119,89.49,66.94
REC-17672593,2022-11-06,5168,95.5,83.43
REC-88406989,2021-01-15,8995,92.24,65.34
REC-77491435,2024-04-03,6968,86.03,62.28
REC-31130263,2024-03-06,2743,94.3,82.48
REC-78159587,2019-09-03,4059,88.9,89.23
REC-34941004,2022-06-05,7975,91.27,63.55
REC-89864260,2023-10-29,1637,94.96,68.64
REC-41568532,2019-11-01,2424,87.47,73.21
REC-26090908,2020-08-14,5979,91.96,96.37
REC-87701200,2022-10-03,5516,93.66,85.38
REC-93131979,2022-04-14,6729,87.11,68.08
REC-66267415,2021-09-14,8866,92.28,64.9
REC-52462441,2020-02-28,326,87.81,94.33
REC-37415205,2021-09-19,9277,88.67,64.52
REC-42035886,2024-06-29,8050,88.81,61.24
REC-63121477,2020-05-03,541,92.69,72.21
REC-96637649,2020-05-25,7518,85.0,66.76
REC-71367643,2023-10-20,1850,86.91,88.31
REC-19736572,2020-04-04,9435,95.56,81.63
REC-71510041,2024-03-14,7904,93.9,95.69
REC-19832887,2020-09-26,7951,86.72,63.75
REC-38609087,2020-10-04,6848,87.56,97.92
REC-45594597,2023-09-17,9402,91.1,95.66
REC-56843172,2024-05-06,5908,92.75,60.22
REC-42787299,2021-01-27,5012,94.26,64.55
REC-48250360,2021-12-03,6232,88.87,86.98
REC-68812137,2024-02-27,5543,90.76,78.25
REC-50603163,2023-04-08,9201,94.54,96.53
REC-11049999,2021-06-21,1956,86.27,75.97
REC-99038526,2024-04-03,3359,88.39,75.37
REC-28024248,2021-05-18,7935,91.46,65.7
REC-25492573,2022-04-27,6568,92.97,93.67
REC-84252420,2023-01-23,4558,90.82,66.4
REC-46553958,2022-11-05,4254,99.42,75.58
REC-91178885,2023-05-25,7830,87.66,80.3
REC-56020613,2024-01-27,3270,98.2,84.94
REC-95125977,2023-07-05,1808,91.88,61.52
REC-77834855,2020-09-11,7266,89.54,79.66
REC-43704923,2021-10-11,9194,99.34,68.02
REC-22388090,2021-07-31,2867,96.44,97.17
REC-47135391,2020-03-18,7637,95.15,93.14
REC-10475894,2022-07-18,3275,90.99,88.93
REC-27558317,2019-11-06,5285,86.15,80.02
REC-31687165,2024-05-18,3801,89.82,79.06
REC-84045292,2021-08-16,5675,93.32,85.48
REC-85283645,2021-07-17,5045,97.36,88.87
REC-25015458,2019-09-24,9180,86.24,97.24
REC-30005727,2020-04-09,8762,92.41,75.51
REC-14835614,2020-03-02,7222,94.52,99.98
REC-88183110,2021-08-13,8688,91.24,88.79
REC-67684996,2020-03-29,6569,94.67,75.81
REC-15614174,2019-12-08,3848,98.67,93.53
REC-58942697,2022-06-24,4023,91.82,70.69
REC-58024342,2020-04-09,4125,88.35,85.67
REC-43491314,2024-01-16,8935,98.49,88.41
REC-57469942,2021-09-10,6783,96.65,68.2
REC-93303777,2022-01-14,1172,99.21,73.49
REC-41774346,2023-10-19,2883,92.51,87.18
REC-33763566,2021-06-28,7988,99.72,91.73
REC-13326769,2024-04-03,6202,86.1,84.89
REC-54585178,2020-10-17,3523,89.65,69.28
REC-99913412,2024-07-11,8248,88.33,72.87
REC-45810056,2024-07-27,2276,85.67,90.44
REC-24508349,2023-09-09,2261,98.53,95.09
REC-15197528,2021-09-25,760,92.75,90.35
REC-39854548,2023-09-10,6796,89.44,83.75
REC-71780854,2023-02-17,3175,87.27,95.04
REC-50962024,2021-04-15,3256,89.56,69.22
REC-39920292,2020-06-21,305,86.88,73.48
REC-98588154,2020-06-29,8812,89.03,85.14
REC-63481198,2023-05-03,4299,87.7,63.93
REC-47393469,2022-09-06,3508,95.52,89.08
REC-47463522,2023-04-10,1393,97.65,63.9
REC-96098221,2023-03-02,8950,90.95,65.27
REC-63643924,2023-08-22,4695,95.11,62.07
REC-54446182,2020-02-17,4051,90.0,87.1
REC-25480907,2020-07-03,6581,99.12,96.59
REC-33966966,2020-03-08,7262,94.08,80.67
REC-15134794,2023-02-03,3654,94.73,70.7
REC-90070438,2022-07-22,9469,91.74,84.49
REC-56397338,2020-08-06,182,99.36,75.96
REC-68571795,2021-10-13,3776,92.69,77.54
REC-25521714,2021-04-19,6236,85.24,63.09
REC-87388337,2021-04-14,2093,92.7,70.13
REC-44188276,2024-03-25,2917,94.45,69.94
REC-68526649,2023-06-26,8426,85.84,79.64
REC-79782527,2020-11-10,2768,97.4,77.85
REC-36445607,2023-04-04,9863,94.48,74.94
REC-67887757,2021-03-25,7068,85.2,71.84
REC-99152472,2022-01-14,4484,90.18,76.57
REC-93638503,2023-08-09,3553,99.4,84.65
REC-99038359,2021-10-17,338,86.73,84.23
REC-50308572,2020-04-23,6414,86.04,78.97
REC-51511484,2023-06-09,6873,96.87,78.05
REC-53779528,2024-05-07,2863,87.73,89.72
REC-49682169,2020-07-02,8497,90.59,62.75
REC-35748341,2020-02-06,5267,86.0,90.66
REC-99245317,2024-04-07,2025,96.25,96.33
REC-33357554,2019-10-17,7504,88.22,76.99
REC-64502486,2020-06-17,4434,94.55,89.93
REC-10054484,2021-09-05,5033,96.8,90.95
REC-48508907,2021-01-30,2203,88.02,80.57
REC-67698610,2023-02-15,9406,97.1,94.32
REC-72409658,2023-10-19,265,85.26,96.66
REC-69345683,2023-10-06,8310,91.63,88.3
REC-78608612,2021-06-27,3639,99.1,80.16
REC-32775593,2023-01-29,7082,93.99,67.17
REC-48089166,2020-03-02,7489,98.65,85.56
REC-99100953,2021-01-25,7229,86.27,84.27
REC-22534217,2022-11-22,1357,95.37,84.12
REC-51663795,2019-09-08,2511,87.52,79.0
REC-36726767,2022-12-27,291,89.49,69.3
REC-13278320,2021-12-03,7642,95.6,84.69
REC-42862209,2023-07-16,6424,91.28,78.34
REC-92043803,2022-02-04,7224,92.34,89.67
REC-71124923,2023-04-08,9140,97.27,80.41
REC-94525678,2024-05-24,7679,92.36,76.26
REC-61536717,2023-10-23,5474,90.06,99.54
REC-63640499,2020-12-25,4068,90.27,63.75
REC-29806690,2021-04-13,821,92.69,88.16
REC-24305904,2022-03-11,3535,92.52,62.01
REC-39372360,2021-07-09,5148,87.84,96.89
REC-79519112,2020-03-01,8200,96.24,77.24
REC-16740197,2024-08-05,9865,99.21,95.39
REC-26288475,2024-04-12,4991,88.92,73.74
REC-27896471,2020-03-09,8828,98.7,67.58
REC-99600766,2022-05-03,6405,97.84,74.27
REC-85017682,2020-02-26,2441,95.23,98.0
REC-69401199,2020-02-04,2873,92.85,87.99
REC-67276174,2024-08-20,7716,95.5,84.68
REC-69849511,2023-09-22,1687,85.41,80.94
REC-73709724,2023-12-12,4724,93.36,66.24
REC-44788100,2024-03-09,9375,86.78,97.35
REC-95585469,2021-01-03,7666,94.19,97.54
REC-79967676,2020-02-25,7431,91.2,87.03
REC-94120751,2023-12-27,857,89.77,98.75
REC-46855845,2020-05-07,4366,98.4,86.32
REC-20399639,2021-04-01,9321,89.88,61.57
REC-41473195,2020-04-01,2906,88.99,99.61
REC-55076693,2020-03-31,2117,87.56,76.73
REC-82498004,2021-09-01,4880,89.57,70.58
REC-28572252,2023-02-07,8722,88.72,87.91
REC-41039390,2020-09-08,240,97.49,92.23
REC-30509175,2024-07-06,6224,98.06,90.36
REC-18620650,2021-10-05,4069,91.13,87.19
REC-64707061,2024-08-04,6482,96.86,65.64
REC-82828034,2020-01-03,4775,99.66,91.75
REC-65804273,2020-05-13,7569,85.35,77.18
REC-37760841,2023-03-27,5605,94.04,80.47
REC-62274692,2024-08-19,7945,87.15,60.74
REC-87267850,2024-06-23,5693,93.91,76.45
REC-74019136,2024-02-12,5297,90.97,92.24
REC-57212267,2022-05-11,7289,92.88,87.91
REC-62343121,2021-11-20,5681,91.64,61.7
REC-82238741,2021-05-28,7098,95.93,91.19
REC-90967191,2022-05-05,425,97.18,75.36
REC-75529051,2021-09-12,2675,99.93,83.31
REC-46632757,2021-12-05,7471,93.59,70.27
REC-75181765,2023-01-13,4139,86.88,98.54
REC-62191530,2020-10-12,2757,92.47,87.57
REC-99774697,2022-03-22,8206,99.12,81.19
REC-32151928,2023-07-23,9082,89.77,83.19
REC-27129912,2022-05-11,1046,85.0,84.56
REC-13619375,2020-04-14,6206,90.07,65.07
REC-89442503,2019-09-30,9047,86.19,82.63
REC-21267237,2023-07-26,7937,89.73,91.66
REC-28213276,2024-06-16,8033,99.04,86.89
REC-34391257,2020-07-08,271,85.82,83.98
REC-44917589,2020-04-16,3343,99.03,78.64
REC-53936531,2024-03-29,5773,89.25,93.49
REC-71028710,2021-06-25,3238,90.74,93.57
REC-55298556,2023-12-21,9929,97.34,96.11
REC-47346970,2021-12-03,3036,85.89,87.63
REC-43859311,2020-10-17,7335,87.66,63.94
REC-73123515,2022-08-21,4370,98.84,62.91
REC-82399599,2020-04-02,7707,96.99,73.37
REC-56970882,2021-09-29,9311,99.95,65.41
REC-97260863,2022-10-24,5114,93.84,97.55
REC-97477029,2022-02-03,2793,89.96,89.79
REC-14164775,2021-01-04,8588,92.44,71.43
REC-36757737,2023-05-25,6215,89.13,79.78
REC-93394260,2024-04-15,1562,90.77,77.44
REC-42016960,2022-03-29,615,94.74,86.76
REC-73560289,2024-03-02,5314,86.99,85.54
REC-85694715,2019-09-26,671,88.15,99.06
REC-72415804,2024-05-21,831,88.1,80.18
REC-59512272,2022-03-20,4412,89.86,90.61
REC-91321540,2020-07-19,9588,89.54,94.35
REC-31980274,2020-10-23,9599,97.04,94.46
REC-24508768,2021-12-01,1435,94.7,85.0
REC-51870192,2020-08-25,2312,92.67,84.17
REC-63238057,2020-07-30,6069,91.12,95.46
REC-20200074,2024-05-16,2007,93.16,99.03
REC-23676961,2020-12-27,4535,91.33,91.4
REC-90585882,2021-12-26,6568,88.89,60.07
REC-85958181,2022-01-24,9924,95.86,97.15
REC-56600900,2021-06-17,6101,87.85,61.56
REC-67495923,2022-08-02,2218,92.25,99.48
REC-19255216,2021-05-26,3299,98.56,62.75
REC-96911784,2021-11-30,2273,92.39,73.21
REC-11698142,2023-12-20,8207,85.31,90.44
REC-75793759,2023-10-28,685,92.54,60.58
REC-68186525,2021-10-21,1204,92.55,91.86
REC-95306788,2020-02-06,7037,96.02,87.98
REC-30534124,2020-06-14,8837,91.75,81.24
REC-33640702,2023-04-10,7199,86.98,67.87
REC-97302916,2022-01-08,6357,98.26,73.72
REC-92666356,2020-01-16,4923,98.66,60.24
REC-74893936,2019-09-13,1012,87.93,66.65
REC-68461818,2022-07-04,8050,88.25,94.91
REC-53258988,2020-10-12,3867,90.13,77.35
REC-21631697,2021-11-23,2611,90.81,83.34
REC-70505620,2021-01-16,167,95.73,98.29
REC-72372114,2023-06-05,1580,90.37,73.35
REC-55150390,2024-05-12,8529,86.03,95.9
REC-76344695,2023-04-22,8734,95.21,70.96
REC-34406132,2024-06-09,3040,91.53,98.12
REC-38470244,2019-10-02,9157,90.7,84.69
REC-44675473,2020-08-14,1774,87.05,89.12
REC-47535126,2020-04-22,5513,85.55,78.99
REC-84597009,2020-12-08,9092,91.44,63.0
REC-79340535,2024-04-23,6018,85.68,77.52
REC-21490777,2019-12-22,8634,96.5,98.65
REC-64549859,2022-10-23,4987,91.29,64.53
REC-84514489,2024-08-15,6837,90.65,84.13
REC-73900135,2024-05-14,2992,89.07,72.65
REC-70152969,2020-12-05,9536,91.75,70.1
REC-22489409,2023-04-29,6596,86.3,81.53
REC-39742165,2020-10-01,1323,98.85,99.9
REC-42655866,2020-01-09,9735,94.43,85.62
REC-99115205,2022-04-16,7895,89.5,78.97
REC-73519947,2022-10-08,935,92.57,60.29
REC-56138336,2020-01-03,7154,91.65,97.56
REC-83871890,2022-09-17,6911,89.67,76.07
REC-57219209,2021-06-15,8837,97.31,60.29
REC-46361787,2021-10-16,7992,86.19,61.88
REC-43742830,2020-07-17,5597,88.76,80.39
REC-26194158,2022-09-04,5824,97.35,88.36
REC-52352128,2024-06-06,6202,90.89,70.35
REC-81922443,2023-02-15,9844,88.2,94.69
REC-35708194,2020-12-25,1960,92.73,99.61
REC-74988034,2021-09-06,7478,90.07,88.22
REC-89133014,2021-01-18,1088,88.66,78.0
REC-90099897,2021-03-05,9319,97.56,72.92
REC-23492385,2023-03-05,6376,95.67,60.27
REC-49761527,2019-11-18,3657,99.8,71.13
REC-58436637,2021-03-12,9584,93.17,65.03
REC-50569669,2022-06-30,7260,89.55,88.66
REC-81690398,2023-03-04,8357,89.94,87.74
REC-46817443,2021-10-12,9435,91.87,75.87
REC-17318358,2021-12-08,5034,89.45,97.19
REC-26948946,2021-01-08,4195,96.52,64.56
REC-23769080,2020-08-02,4877,91.48,99.96
REC-87049595,2022-12-03,4033,86.69,61.97
REC-73001391,2019-12-31,4832,87.56,77.47
REC-69118721,2023-09-03,4533,98.19,80.57
REC-34744872,2021-07-24,1311,96.76,97.88
REC-43887075,2021-05-14,9899,90.15,86.68
REC-25312516,2023-08-02,5436,98.16,69.73
REC-63782042,2022-08-23,5885,96.3,89.1
REC-19943140,2022-04-07,3420,93.95,70.97
REC-30364454,2021-08-09,3070,99.44,85.13
REC-85543051,2021-07-25,1335,94.61,72.57
REC-21432787,2019-11-14,1659,92.51,96.47
REC-25898299,2021-04-24,9797,89.42,74.18
REC-91378577,2023-01-21,8967,87.85,80.84
REC-80138498,2022-06-17,5895,86.3,69.47
REC-70467027,2022-01-14,5292,91.37,73.67
REC-49910061,2020-04-04,5607,94.46,77.21
REC-50987442,2022-01-16,9344,94.5,88.84
REC-91823275,2022-08-27,8611,85.69,83.18
REC-37888820,2024-01-01,9218,90.16,62.47
REC-45520201,2023-01-25,2822,97.31,71.26
REC-31079846,2024-03-24,7429,94.56,62.83
REC-33328859,2022-06-26,7229,87.32,85.07
REC-31009452,2019-11-26,4523,95.35,97.82
REC-64830300,2020-08-25,4035,88.16,69.47
REC-89699989,2021-11-21,6794,92.61,77.66
REC-49092160,2021-03-09,4969,92.3,97.4
REC-41068214,2024-08-09,8517,95.66,76.76
REC-47945817,2021-12-04,1064,99.59,60.19
REC-19553585,2019-12-29,9119,88.1,97.0
REC-45507920,2020-08-03,1560,94.34,72.36
REC-67061186,2023-05-14,5935,88.26,81.68
REC-83089925,2022-08-11,7790,87.15,60.56
REC-96924061,2022-05-03,9341,92.28,65.98
REC-45652586,2023-05-19,2968,99.02,68.26
REC-19584466,2024-01-07,5075,98.12,65.16
REC-32269779,2020-08-26,3261,85.67,71.57
REC-89865458,2022-12-11,6006,96.95,73.64
REC-68942178,2024-07-28,7975,99.67,90.93
REC-72907576,2021-04-14,7251,88.87,69.74
REC-64023778,2021-11-01,8528,97.79,67.93
REC-77172238,2020-01-17,2172,89.82,61.39
REC-76276072,2023-05-18,9290,92.65,72.0
REC-20796722,2019-09-07,5038,92.07,99.24
REC-67985905,2024-02-03,8366,85.49,89.73
REC-91029073,2024-03-31,7211,94.39,62.18
REC-13471527,2021-05-06,6671,88.62,60.63
REC-40725714,2022-10-07,5532,99.33,84.44
REC-46173157,2023-05-03,8167,90.26,90.91
REC-33513701,2020-04-06,4681,99.79,91.23
REC-79654147,2022-06-23,1824,88.23,68.84
REC-47333543,2022-05-04,5293,91.0,82.0
REC-88561612,2020-09-23,7006,89.55,85.53
REC-95199362,2022-03-23,3651,96.43,88.54
REC-22246348,2023-12-25,9596,89.41,86.88
REC-56702542,2022-04-19,7346,97.13,74.47
REC-54735895,2023-02-21,164,86.15,77.05
REC-99943797,2022-06-11,923,87.52,67.6
REC-31585546,2023-02-03,5312,99.99,67.01
REC-65250068,2022-03-08,6373,92.05,78.22
REC-48683937,2024-05-20,1154,99.22,62.15
REC-83832717,2020-10-01,491,91.2,90.01
REC-71045700,2021-04-20,1331,98.33,73.16
REC-52213778,2023-03-31,1074,92.58,99.53
REC-53389073,2022-11-22,6939,92.36,63.02
REC-64247457,2021-02-23,8453,99.53,79.37
REC-10154493,2024-07-05,1167,95.37,95.33
REC-72005415,2022-03-25,456,94.33,81.6
REC-17275149,2023-02-14,977,88.57,75.55
REC-79583757,2024-04-30,1863,93.39,71.17
REC-93568503,2019-09-03,9861,88.38,68.47
REC-93940940,2022-04-03,7805,86.13,70.01
REC-16927215,2022-02-09,3945,87.17,77.68
REC-45843681,2021-06-16,697,94.12,76.13
REC-27584297,2023-04-29,8051,85.9,75.05
REC-68802946,2024-08-07,9699,87.66,87.8
REC-26297533,2022-05-30,3868,92.85,64.67
REC-94560158,2023-08-16,7392,91.34,68.04
REC-31257157,2023-06-05,1687,93.24,97.19
REC-83932360,2023-06-06,8895,98.44,87.43
REC-84121929,2021-06-26,4964,97.13,75.52
REC-22510327,2024-01-07,8602,97.88,85.35
REC-25228493,2023-09-11,6231,96.98,92.12
REC-25766039,2021-02-10,209,97.27,97.2
REC-76890827,2020-05-22,6696,93.87,95.47
REC-78299645,2022-01-30,9819,87.41,82.53
REC-65766169,2024-01-20,1746,99.89,76.32
REC-73380266,2022-07-09,6038,94.03,62.58
REC-71308842,2020-06-18,4621,85.23,72.51
REC-61484043,2021-08-31,9581,89.55,75.94
REC-90447099,2022-04-23,1716,96.09,77.05
REC-28321839,2021-07-30,9273,92.23,80.81
REC-47077298,2021-05-12,3501,98.56,66.26
REC-55617282,2020-12-02,7712,93.99,62.87
REC-45859307,2019-11-16,6402,86.17,81.29
REC-47962005,2020-01-23,3267,92.28,88.17
REC-88777447,2021-10-01,5504,98.95,75.34
REC-29944139,2023-09-17,4423,97.03,94.06
REC-82287061,2020-04-15,8727,93.49,84.62
REC-56321751,2023-07-17,344,90.74,90.29
REC-84077101,2023-03-12,8334,91.7,60.28
REC-60628276,2024-07-25,4801,90.43,86.42
REC-53188224,2021-04-28,7287,95.82,74.11
REC-42051937,2022-12-07,8629,98.67,73.82
REC-41348220,2023-11-15,9958,85.23,66.67
REC-15858241,2023-01-25,752,94.06,79.73
REC-73481797,2021-09-29,4023,88.99,83.63
REC-61818612,2020-12-03,7546,89.09,78.54
REC-76481885,2019-09-19,1406,98.87,80.87
REC-26944487,2020-07-29,2007,91.49,79.37
REC-89212676,2023-04-14,1889,97.58,86.17
REC-23470708,2021-07-12,4744,98.77,76.32
REC-23383077,2021-03-01,4637,86.24,90.63
REC-71327848,2024-01-28,6058,96.04,90.97
REC-29348212,2023-08-15,4930,89.21,92.82
REC-97883261,2020-02-05,3480,97.9,78.33
REC-20043277,2024-05-29,9216,88.5,76.38
REC-45570755,2021-10-15,970,98.3,70.52
REC-93652460,2020-09-13,2358,90.75,91.79
REC-97219599,2023-07-21,9328,86.97,72.09
REC-54099326,2020-10-20,8028,94.2,94.75
REC-61003997,2023-08-15,6107,89.84,77.61
REC-94127561,2024-03-09,4400,89.9,89.79
REC-82613940,2024-06-03,356,99.89,86.36
REC-92874006,2022-05-14,5097,86.59,79.71
REC-41510328,2023-06-08,3063,88.85,88.56
REC-40532691,2023-12-18,4283,99.23,69.84
REC-68246664,2023-04-19,4432,85.84,63.23
REC-95060193,2024-04-30,3910,91.82,78.83
REC-69549527,2023-06-18,3741,88.51,70.79
REC-50193656,2021-01-08,9485,89.48,70.52
REC-16172803,2023-09-15,9777,99.64,71.45
REC-17532195,2023-07-01,5999,93.59,76.18
REC-58112135,2021-11-15,9486,89.57,67.27
REC-67805802,2021-10-09,600,91.47,92.7
REC-42775624,2022-01-10,9144,96.41,66.73
REC-65304649,2024-02-07,3857,92.19,74.69
REC-32814819,2023-10-16,964,92.46,86.7
REC-20598952,2021-09-14,166,98.26,97.33
REC-93176117,2022-01-02,6364,86.95,82.27
REC-76795767,2023-05-30,1623,93.24,89.93
REC-41163805,2020-04-29,3795,86.27,64.77
REC-95618110,2022-02-05,3916,87.5,61.87
REC-71682508,2021-08-30,4368,88.5,82.95
REC-99501846,2021-12-24,9499,87.22,89.85
REC-72445234,2022-07-11,9323,88.33,92.99
REC-83363160,2022-05-22,4875,87.64,91.46
REC-19913576,2024-04-06,8286,85.59,85.54
REC-56381032,2020-05-09,4917,98.52,90.03
REC-95756900,2020-11-04,4748,91.57,70.51
REC-43567615,2020-12-13,6503,86.65,88.85
REC-50550084,2021-08-20,6576,96.55,82.45
REC-61632653,2022-12-05,7499,96.09,79.97
REC-24314759,2020-12-19,1488,95.34,73.76
REC-61185849,2021-06-27,9368,89.9,77.49
REC-87149951,2020-03-19,4051,98.55,65.59
REC-49625201,2023-03-13,4735,93.7,66.5
REC-98346110,2023-02-19,5383,86.92,77.01
REC-46840133,2022-06-26,8820,92.92,91.52
REC-85957706,2024-04-13,784,92.77,78.22
REC-91390501,2023-08-19,4455,94.05,97.36
REC-48412328,2023-03-16,1983,88.71,80.26
REC-91478884,2020-03-13,2115,99.3,81.64
REC-39394291,2021-06-05,7442,91.83,84.23
REC-93334601,2023-03-30,9991,86.78,85.83
REC-98473848,2022-12-25,831,99.6,67.75
REC-94322033,2024-08-20,3049,85.81,78.29
