record_id,date,returns,customer_complaints,shipping_time_days,delivery_accuracy,transportation_costs
REC-58586340,2021-08-25,26,30,4.59,95.66,7190.17
REC-28566572,2020-07-11,59,42,6.59,95.65,6996.84
REC-76238574,2022-11-26,0,45,2.42,91.66,1944.58
REC-16323852,2022-01-12,40,34,3.39,95.37,9206.57
REC-30514014,2023-07-11,87,32,3.17,95.81,6359.42
REC-66661351,2022-10-09,12,29,5.5,92.1,8990.74
REC-61642594,2021-01-19,93,37,5.59,91.03,3410.19
REC-89978790,2022-10-26,66,23,2.18,95.06,5990.98
REC-81016525,2022-09-09,67,36,1.85,94.06,3307.5
REC-84252722,2021-06-13,10,41,5.95,93.63,438.86
REC-25374874,2021-12-09,86,31,3.55,90.22,2759.91
REC-45812670,2020-04-10,69,17,4.18,98.15,5031.1
REC-24972279,2021-02-14,52,6,4.44,98.38,4103.38
REC-68353204,2024-03-18,35,48,5.33,96.1,9498.14
REC-70897765,2021-10-01,97,8,5.63,91.07,843.86
REC-45351479,2021-01-21,11,18,2.89,98.07,9624.78
REC-33978249,2023-08-08,69,7,2.5,94.89,2289.97
REC-24282218,2022-11-23,6,8,2.16,91.15,4275.45
REC-95758349,2021-12-18,97,2,5.18,93.4,7275.19
REC-91734598,2024-05-28,98,41,6.94,90.0,1936.18
REC-30513739,2021-07-15,9,29,3.51,94.21,7402.06
REC-31682744,2022-06-05,48,23,1.75,99.56,8000.09
REC-81182864,2020-02-22,19,28,4.9,96.08,5175.62
REC-90388981,2021-08-13,60,41,4.09,94.91,9963.72
REC-75579548,2019-12-10,91,28,6.33,99.56,8635.06
REC-25014631,2022-05-09,36,47,5.1,90.76,8526.95
REC-51273847,2023-01-30,79,39,2.47,91.57,1687.96
REC-17774584,2021-12-11,41,9,5.92,92.29,9096.14
REC-86149359,2020-03-25,59,23,5.91,91.28,2905.1
REC-21496211,2021-06-18,90,16,5.63,97.09,4788.38
REC-19289546,2024-06-29,10,32,2.94,94.89,7727.03
REC-26879290,2022-05-06,31,1,5.64,92.3,1400.22
REC-98550256,2021-06-23,0,37,2.38,92.13,408.23
REC-83793389,2023-12-01,49,6,4.76,91.31,422.01
REC-45575298,2023-01-13,59,21,4.49,92.69,7995.84
REC-91415657,2023-07-28,40,7,5.35,97.49,1544.63
REC-38427073,2020-11-18,32,12,1.47,93.97,1413.89
REC-36998038,2021-12-02,72,38,4.68,92.99,9358.5
REC-63551839,2020-11-08,40,41,3.63,97.25,5973.46
REC-68800797,2021-10-07,69,17,4.92,93.32,5470.54
REC-70597444,2024-06-11,23,19,4.77,97.35,7700.47
REC-43273328,2024-04-02,57,11,3.3,94.66,8376.38
REC-18593410,2021-11-26,13,38,3.16,95.93,1718.89
REC-12823170,2024-08-22,9,2,3.65,93.31,4542.9
REC-88979095,2023-04-25,75,36,5.69,97.05,4519.05
REC-10965138,2024-08-18,69,36,6.6,93.16,5121.62
REC-94705205,2023-01-24,42,49,3.06,95.32,1344.84
REC-40728046,2022-09-30,85,46,5.16,98.38,9451.68
REC-14216175,2021-07-14,30,15,5.96,96.67,5814.13
REC-19510312,2020-11-04,67,33,3.42,93.27,6709.17
REC-41944441,2024-01-02,70,14,5.17,93.89,4542.07
REC-99788677,2023-11-13,65,5,6.49,98.14,1178.29
REC-38754377,2020-06-10,79,46,1.43,99.55,6581.46
REC-27758595,2020-01-26,34,7,2.87,96.1,7189.89
REC-42614537,2020-08-07,60,41,6.51,94.25,961.69
REC-64634663,2020-12-19,41,7,5.62,95.57,2630.89
REC-22660194,2021-01-11,97,32,2.3,90.96,334.02
REC-98447167,2023-04-05,17,2,3.66,94.46,7272.72
REC-57553014,2020-03-17,2,8,2.94,92.27,3614.46
REC-65177213,2022-12-10,2,21,5.02,99.94,6652.21
REC-17270733,2022-11-30,61,29,3.7,97.56,3540.96
REC-18135295,2023-08-26,29,20,1.56,92.57,7900.23
REC-55540424,2024-03-02,90,8,4.06,98.25,2869.07
REC-43374088,2021-10-22,81,44,3.28,98.78,8693.76
REC-35529407,2024-05-16,9,24,4.45,94.79,3205.9
REC-70211891,2019-10-07,97,3,1.81,99.63,5540.34
REC-66623995,2020-08-22,22,18,3.32,95.64,1998.65
REC-47385696,2024-03-27,6,15,5.15,96.18,6368.58
REC-43528453,2021-12-08,98,6,4.15,94.82,1851.18
REC-69476001,2022-07-24,12,20,6.01,96.29,2068.68
REC-16789850,2020-08-13,51,47,5.42,94.76,3821.29
REC-11980765,2022-03-01,9,49,1.23,99.02,4668.63
REC-41726318,2023-05-14,86,36,1.29,90.38,7487.45
REC-64547971,2021-01-05,27,42,3.47,95.5,8322.29
REC-74606833,2023-07-12,48,35,4.69,97.75,6474.65
REC-63826716,2019-09-12,31,33,1.77,93.38,9288.03
REC-32097220,2021-11-28,20,34,5.03,93.17,8804.76
REC-10289289,2023-12-05,85,21,6.91,99.37,527.42
REC-45594951,2021-03-10,96,2,2.79,95.65,6919.96
REC-48285503,2023-12-27,95,41,4.95,93.11,7449.25
REC-84593961,2020-07-28,13,33,5.55,96.78,7587.02
REC-30776478,2022-03-17,84,39,2.07,90.29,1752.16
REC-49823450,2023-12-27,23,33,4.6,96.02,327.03
REC-17849494,2021-05-11,99,29,2.97,94.34,977.14
REC-18181586,2020-12-19,46,13,5.48,97.4,9508.1
REC-17672593,2022-11-06,18,41,6.12,92.26,3831.45
REC-88406989,2021-01-15,56,35,5.59,91.59,6141.23
REC-77491435,2024-04-03,9,15,3.23,94.29,8463.42
REC-31130263,2024-03-06,14,17,5.39,95.48,1367.08
REC-78159587,2019-09-03,87,48,3.78,99.72,6124.42
REC-34941004,2022-06-05,27,42,1.41,97.08,5481.03
REC-89864260,2023-10-29,75,23,5.72,91.12,3624.14
REC-41568532,2019-11-01,85,27,2.53,99.47,5645.8
REC-26090908,2020-08-14,88,49,1.56,94.41,2036.53
REC-87701200,2022-10-03,41,19,4.35,91.66,6173.38
REC-93131979,2022-04-14,3,29,4.69,90.83,8835.92
REC-66267415,2021-09-14,58,26,5.12,90.93,390.71
REC-52462441,2020-02-28,10,1,5.93,94.59,3642.2
REC-37415205,2021-09-19,50,46,2.15,96.14,4411.5
REC-42035886,2024-06-29,46,38,2.0,96.55,9918.25
REC-63121477,2020-05-03,13,35,6.23,97.66,7905.63
REC-96637649,2020-05-25,61,34,3.48,98.02,4842.79
REC-71367643,2023-10-20,44,6,4.73,95.59,6319.56
REC-19736572,2020-04-04,88,13,4.59,92.97,3069.2
REC-71510041,2024-03-14,29,11,4.5,99.95,8571.39
REC-19832887,2020-09-26,64,7,4.1,94.3,3237.77
REC-38609087,2020-10-04,91,27,2.41,97.87,9710.59
REC-45594597,2023-09-17,82,41,6.83,93.31,4872.21
REC-56843172,2024-05-06,89,38,5.82,95.72,5175.41
REC-42787299,2021-01-27,10,45,6.96,91.31,2819.84
REC-48250360,2021-12-03,24,26,1.01,97.18,8312.92
REC-68812137,2024-02-27,96,11,1.48,93.55,9423.08
REC-50603163,2023-04-08,1,28,1.4,95.34,1507.16
REC-11049999,2021-06-21,23,37,6.07,96.92,4356.32
REC-99038526,2024-04-03,74,47,1.07,93.7,371.46
REC-28024248,2021-05-18,59,17,4.82,93.41,809.95
REC-25492573,2022-04-27,49,4,2.37,99.77,5365.94
REC-84252420,2023-01-23,36,41,3.25,94.74,4496.86
REC-46553958,2022-11-05,48,12,4.25,97.62,8353.13
REC-91178885,2023-05-25,0,27,4.5,100.0,1590.16
REC-56020613,2024-01-27,27,4,3.85,95.43,2354.72
REC-95125977,2023-07-05,40,45,1.21,99.7,9496.21
REC-77834855,2020-09-11,63,49,5.35,98.94,4614.19
REC-43704923,2021-10-11,95,7,1.37,98.83,4538.36
REC-22388090,2021-07-31,20,15,5.92,93.33,7357.21
REC-47135391,2020-03-18,0,14,1.86,97.53,7712.34
REC-10475894,2022-07-18,71,2,4.79,95.77,7007.79
REC-27558317,2019-11-06,12,46,2.27,98.63,4072.93
REC-31687165,2024-05-18,52,18,4.89,91.23,8897.72
REC-84045292,2021-08-16,78,21,4.38,91.2,9176.24
REC-85283645,2021-07-17,92,25,5.29,95.93,8967.69
REC-25015458,2019-09-24,67,35,6.44,99.43,4281.61
REC-30005727,2020-04-09,20,42,5.0,99.66,7634.27
REC-14835614,2020-03-02,98,46,1.67,96.34,7730.73
REC-88183110,2021-08-13,99,44,5.52,90.36,4007.87
REC-67684996,2020-03-29,98,12,1.35,91.12,5207.03
REC-15614174,2019-12-08,16,11,4.57,90.1,4694.54
REC-58942697,2022-06-24,41,46,5.84,91.2,2729.27
REC-58024342,2020-04-09,99,46,5.05,95.47,8314.65
REC-43491314,2024-01-16,43,25,4.49,99.9,2467.67
REC-57469942,2021-09-10,44,18,1.88,98.11,6395.95
REC-93303777,2022-01-14,25,48,6.58,94.97,2379.48
REC-41774346,2023-10-19,73,45,3.6,90.44,1740.92
REC-33763566,2021-06-28,98,47,3.44,99.53,5273.14
REC-13326769,2024-04-03,97,16,6.76,95.21,9775.35
REC-54585178,2020-10-17,92,21,4.62,98.35,7865.77
REC-99913412,2024-07-11,92,2,6.37,90.0,9023.69
REC-45810056,2024-07-27,90,25,3.14,97.88,2584.91
REC-24508349,2023-09-09,4,0,2.05,98.67,2896.54
REC-15197528,2021-09-25,39,4,3.52,97.8,4815.72
REC-39854548,2023-09-10,98,36,3.76,90.95,8284.79
REC-71780854,2023-02-17,52,40,1.0,94.17,5272.85
REC-50962024,2021-04-15,35,46,3.5,97.59,6135.35
REC-39920292,2020-06-21,53,20,1.9,93.81,4203.25
REC-98588154,2020-06-29,20,36,1.62,95.14,5138.02
REC-63481198,2023-05-03,56,16,1.19,90.52,1507.49
REC-47393469,2022-09-06,14,35,5.72,97.34,3905.11
REC-47463522,2023-04-10,39,18,3.58,93.09,4874.42
REC-96098221,2023-03-02,21,36,1.43,93.13,9359.44
REC-63643924,2023-08-22,16,5,3.0,97.33,4104.82
REC-54446182,2020-02-17,83,6,4.79,91.99,4241.51
REC-25480907,2020-07-03,57,4,6.87,95.55,1979.17
REC-33966966,2020-03-08,25,42,4.57,91.72,9262.67
REC-15134794,2023-02-03,96,31,4.66,93.13,2783.85
REC-90070438,2022-07-22,99,33,3.24,90.5,6312.12
REC-56397338,2020-08-06,16,9,1.05,94.34,1016.99
REC-68571795,2021-10-13,49,19,2.22,96.54,8201.86
REC-25521714,2021-04-19,32,10,4.57,93.72,3397.05
REC-87388337,2021-04-14,5,42,4.23,92.69,3747.64
REC-44188276,2024-03-25,36,14,1.38,98.25,2994.59
REC-68526649,2023-06-26,0,37,1.96,91.6,797.87
REC-79782527,2020-11-10,22,24,3.14,93.54,8302.7
REC-36445607,2023-04-04,5,44,4.02,91.94,8602.29
REC-67887757,2021-03-25,22,44,1.99,90.02,7215.52
REC-99152472,2022-01-14,35,33,4.12,96.08,2528.99
REC-93638503,2023-08-09,73,39,5.21,91.72,5051.12
REC-99038359,2021-10-17,70,12,3.35,98.96,2122.73
REC-50308572,2020-04-23,24,27,5.18,97.53,4704.05
REC-51511484,2023-06-09,52,45,3.33,98.04,9027.56
REC-53779528,2024-05-07,76,44,6.94,92.32,9431.2
REC-49682169,2020-07-02,95,26,3.28,98.31,8439.02
REC-35748341,2020-02-06,57,16,1.09,92.07,7161.04
REC-99245317,2024-04-07,85,41,2.84,94.15,7156.5
REC-33357554,2019-10-17,1,49,3.3,98.22,6629.16
REC-64502486,2020-06-17,12,26,4.57,92.65,6653.49
REC-10054484,2021-09-05,21,5,3.49,98.88,8260.84
REC-48508907,2021-01-30,7,10,5.88,97.07,9675.91
REC-67698610,2023-02-15,34,10,3.16,97.84,5705.19
REC-72409658,2023-10-19,57,34,6.63,94.15,4083.12
REC-69345683,2023-10-06,97,27,4.17,92.12,9956.75
REC-78608612,2021-06-27,86,10,2.0,95.0,6939.75
REC-32775593,2023-01-29,13,49,1.11,97.79,6136.0
REC-48089166,2020-03-02,65,35,1.47,97.41,1039.59
REC-99100953,2021-01-25,44,46,5.1,93.75,8020.73
REC-22534217,2022-11-22,52,11,5.9,98.53,9385.86
REC-51663795,2019-09-08,83,2,6.91,91.66,1232.87
REC-36726767,2022-12-27,95,35,2.26,98.09,1554.53
REC-13278320,2021-12-03,23,34,1.02,91.74,8766.52
REC-42862209,2023-07-16,14,41,2.88,95.38,8417.07
REC-92043803,2022-02-04,98,47,3.44,93.28,4594.5
REC-71124923,2023-04-08,38,7,3.23,96.62,1498.11
REC-94525678,2024-05-24,61,5,3.25,97.98,3737.17
REC-61536717,2023-10-23,21,3,1.0,98.71,7946.69
REC-63640499,2020-12-25,7,25,5.71,95.9,163.71
REC-29806690,2021-04-13,42,20,5.58,90.45,6501.34
REC-24305904,2022-03-11,0,43,1.15,94.49,2451.04
REC-39372360,2021-07-09,42,30,5.64,92.37,6806.19
REC-79519112,2020-03-01,20,1,5.01,99.33,2728.41
REC-16740197,2024-08-05,51,31,4.26,93.47,4412.88
REC-26288475,2024-04-12,3,37,1.37,90.92,1711.63
REC-27896471,2020-03-09,9,18,6.43,98.17,7594.78
REC-99600766,2022-05-03,88,1,2.11,93.42,4356.58
REC-85017682,2020-02-26,4,5,6.41,93.44,7356.7
REC-69401199,2020-02-04,74,4,1.59,90.76,3679.26
REC-67276174,2024-08-20,71,27,6.9,92.6,9700.26
REC-69849511,2023-09-22,53,41,5.94,98.21,4825.77
REC-73709724,2023-12-12,13,46,1.84,95.76,7642.65
REC-44788100,2024-03-09,19,5,1.97,96.56,9714.39
REC-95585469,2021-01-03,31,47,1.28,93.2,4437.95
REC-79967676,2020-02-25,58,15,5.96,90.42,4249.91
REC-94120751,2023-12-27,56,15,3.42,97.52,5359.81
REC-46855845,2020-05-07,92,22,4.0,94.34,2570.08
REC-20399639,2021-04-01,67,16,5.37,93.46,6743.82
REC-41473195,2020-04-01,72,22,1.39,98.87,4256.5
REC-55076693,2020-03-31,40,24,4.97,96.02,1713.89
REC-82498004,2021-09-01,74,15,4.44,93.93,383.66
REC-28572252,2023-02-07,26,26,4.4,97.51,1406.46
REC-41039390,2020-09-08,79,35,3.7,93.37,8719.82
REC-30509175,2024-07-06,76,41,2.25,92.96,9116.95
REC-18620650,2021-10-05,12,42,4.85,92.6,8872.25
REC-64707061,2024-08-04,74,36,1.49,90.35,9898.59
REC-82828034,2020-01-03,52,31,4.72,94.11,4332.12
REC-65804273,2020-05-13,49,11,1.24,98.9,9920.43
REC-37760841,2023-03-27,66,11,1.91,98.9,9444.89
REC-62274692,2024-08-19,41,46,1.36,91.31,6099.37
REC-87267850,2024-06-23,47,19,3.9,97.77,6761.19
REC-74019136,2024-02-12,77,36,4.61,93.41,9180.95
REC-57212267,2022-05-11,17,37,2.77,90.01,2792.35
REC-62343121,2021-11-20,45,31,5.88,99.24,4660.63
REC-82238741,2021-05-28,82,45,1.08,95.4,8526.39
REC-90967191,2022-05-05,0,19,1.83,90.81,8314.26
REC-75529051,2021-09-12,28,19,5.09,93.15,1418.78
REC-46632757,2021-12-05,42,12,5.04,97.67,3144.54
REC-75181765,2023-01-13,19,18,5.99,99.75,4794.23
REC-62191530,2020-10-12,71,46,3.19,96.41,4715.2
REC-99774697,2022-03-22,53,3,3.38,97.56,4596.42
REC-32151928,2023-07-23,13,13,1.37,94.99,1152.74
REC-27129912,2022-05-11,88,41,5.38,91.35,2056.63
REC-13619375,2020-04-14,89,3,4.31,95.95,8731.94
REC-89442503,2019-09-30,46,30,4.57,90.81,9401.73
REC-21267237,2023-07-26,0,25,6.83,91.77,7248.45
REC-28213276,2024-06-16,8,20,1.08,92.27,5712.24
REC-34391257,2020-07-08,58,30,5.92,98.26,5921.2
REC-44917589,2020-04-16,38,27,3.49,90.14,4835.52
REC-53936531,2024-03-29,2,18,5.45,92.44,6020.29
REC-71028710,2021-06-25,86,15,4.4,98.78,5622.95
REC-55298556,2023-12-21,71,48,1.46,91.7,1356.75
REC-47346970,2021-12-03,27,17,5.03,91.7,648.62
REC-43859311,2020-10-17,93,44,2.42,90.97,1872.41
REC-73123515,2022-08-21,52,25,6.25,98.31,2324.11
REC-82399599,2020-04-02,51,48,6.74,98.9,6557.52
REC-56970882,2021-09-29,85,20,3.6,91.28,4149.94
REC-97260863,2022-10-24,90,44,2.35,90.69,8292.24
REC-97477029,2022-02-03,48,22,2.9,99.12,703.19
REC-14164775,2021-01-04,98,32,1.55,96.26,5550.26
REC-36757737,2023-05-25,22,18,4.67,92.96,2631.86
REC-93394260,2024-04-15,38,30,2.03,95.18,2218.55
REC-42016960,2022-03-29,51,4,3.75,95.65,6663.97
REC-73560289,2024-03-02,41,12,2.26,94.16,3630.06
REC-85694715,2019-09-26,94,24,1.91,93.29,639.21
REC-72415804,2024-05-21,82,21,3.43,92.69,2066.45
REC-59512272,2022-03-20,48,24,6.42,92.67,8142.67
REC-91321540,2020-07-19,86,5,5.1,93.32,5055.74
REC-31980274,2020-10-23,93,7,6.23,92.89,7853.83
REC-24508768,2021-12-01,79,37,1.53,91.95,8223.47
REC-51870192,2020-08-25,61,34,6.03,96.71,7000.54
REC-63238057,2020-07-30,7,14,2.49,99.42,3052.9
REC-20200074,2024-05-16,70,28,1.2,91.22,4217.03
REC-23676961,2020-12-27,16,15,2.54,97.52,5177.46
REC-90585882,2021-12-26,65,8,4.32,95.13,2885.79
REC-85958181,2022-01-24,42,31,5.27,92.34,7518.85
REC-56600900,2021-06-17,38,41,6.26,97.73,6748.72
REC-67495923,2022-08-02,51,49,1.58,97.06,3521.24
REC-19255216,2021-05-26,70,18,3.57,90.61,2316.85
REC-96911784,2021-11-30,16,37,2.92,91.64,7853.3
REC-11698142,2023-12-20,0,26,5.43,91.39,4456.7
REC-75793759,2023-10-28,33,45,6.72,97.55,4509.98
REC-68186525,2021-10-21,69,18,3.26,94.14,494.13
REC-95306788,2020-02-06,96,15,6.89,93.82,7774.82
REC-30534124,2020-06-14,0,13,5.03,99.26,6229.76
REC-33640702,2023-04-10,40,31,3.18,98.24,2120.47
REC-97302916,2022-01-08,73,24,4.66,92.41,3929.39
REC-92666356,2020-01-16,49,47,4.49,97.15,2478.17
REC-74893936,2019-09-13,94,3,6.71,97.38,6014.55
REC-68461818,2022-07-04,48,17,5.98,91.9,9180.48
REC-53258988,2020-10-12,6,45,5.45,98.05,8465.89
REC-21631697,2021-11-23,77,42,1.68,95.96,4898.43
REC-70505620,2021-01-16,12,13,2.51,94.47,1322.15
REC-72372114,2023-06-05,45,2,3.95,97.01,8569.96
REC-55150390,2024-05-12,50,39,3.84,98.55,3466.04
REC-76344695,2023-04-22,2,28,2.72,95.18,7505.36
REC-34406132,2024-06-09,40,9,5.36,91.21,3097.47
REC-38470244,2019-10-02,97,5,2.15,96.67,6271.46
REC-44675473,2020-08-14,13,47,3.63,92.77,5625.89
REC-47535126,2020-04-22,37,23,2.95,96.73,3438.94
REC-84597009,2020-12-08,51,41,1.37,95.77,1280.18
REC-79340535,2024-04-23,34,49,3.08,96.54,3566.97
REC-21490777,2019-12-22,67,41,4.78,94.56,4871.97
REC-64549859,2022-10-23,82,28,2.32,95.15,1113.43
REC-84514489,2024-08-15,15,22,4.49,97.66,4123.52
REC-73900135,2024-05-14,98,14,2.1,97.56,4794.16
REC-70152969,2020-12-05,93,3,6.03,98.09,3247.26
REC-22489409,2023-04-29,97,12,3.67,94.88,8149.32
REC-39742165,2020-10-01,53,9,2.83,99.83,6463.5
REC-42655866,2020-01-09,97,40,4.56,94.89,1420.11
REC-99115205,2022-04-16,34,45,6.31,91.52,6018.3
REC-73519947,2022-10-08,39,47,3.52,95.02,9108.31
REC-56138336,2020-01-03,48,11,4.3,94.17,8789.72
REC-83871890,2022-09-17,77,35,2.79,97.8,4769.1
REC-57219209,2021-06-15,9,37,3.11,97.06,5263.35
REC-46361787,2021-10-16,42,18,5.7,90.11,7642.71
REC-43742830,2020-07-17,79,45,4.05,94.53,2859.07
REC-26194158,2022-09-04,24,44,4.06,92.59,3232.93
REC-52352128,2024-06-06,6,41,6.76,95.38,240.55
REC-81922443,2023-02-15,3,37,1.78,90.58,8465.62
REC-35708194,2020-12-25,80,0,3.08,94.32,7839.62
REC-74988034,2021-09-06,95,38,4.07,94.46,9672.99
REC-89133014,2021-01-18,58,8,6.2,92.44,9670.67
REC-90099897,2021-03-05,47,19,2.38,91.06,8235.35
REC-23492385,2023-03-05,16,3,3.43,90.03,8514.47
REC-49761527,2019-11-18,31,2,6.63,96.77,1278.31
REC-58436637,2021-03-12,73,8,2.3,93.67,3970.08
REC-50569669,2022-06-30,45,13,1.08,96.44,1910.36
REC-81690398,2023-03-04,57,11,5.36,96.93,9874.95
REC-46817443,2021-10-12,89,10,5.33,91.74,5514.12
REC-17318358,2021-12-08,11,6,2.79,94.55,1719.18
REC-26948946,2021-01-08,21,49,4.17,90.34,6425.73
REC-23769080,2020-08-02,1,29,5.0,92.67,9115.58
REC-87049595,2022-12-03,86,27,4.66,98.35,7132.48
REC-73001391,2019-12-31,57,10,5.35,98.36,9746.95
REC-69118721,2023-09-03,83,2,2.28,90.97,735.96
REC-34744872,2021-07-24,48,2,3.87,93.55,6856.87
REC-43887075,2021-05-14,12,15,3.76,90.77,6740.57
REC-25312516,2023-08-02,62,20,5.56,90.49,8452.92
REC-63782042,2022-08-23,40,39,1.75,95.25,1183.96
REC-19943140,2022-04-07,86,28,5.05,92.06,3589.56
REC-30364454,2021-08-09,69,1,1.42,96.6,8111.03
REC-85543051,2021-07-25,45,10,2.31,96.21,575.98
REC-21432787,2019-11-14,97,10,6.0,94.93,9125.17
REC-25898299,2021-04-24,25,32,1.62,96.57,9079.16
REC-91378577,2023-01-21,54,24,4.09,95.13,1161.5
REC-80138498,2022-06-17,99,43,4.77,92.66,486.16
REC-70467027,2022-01-14,57,38,1.79,98.87,2822.75
REC-49910061,2020-04-04,73,42,2.05,98.75,7400.57
REC-50987442,2022-01-16,81,49,1.88,98.23,2426.81
REC-91823275,2022-08-27,76,3,3.48,96.79,2444.3
REC-37888820,2024-01-01,89,29,1.56,93.99,4247.4
REC-45520201,2023-01-25,1,31,3.98,98.43,4514.28
REC-31079846,2024-03-24,23,5,5.78,95.95,8877.29
REC-33328859,2022-06-26,29,7,6.29,99.59,2004.23
REC-31009452,2019-11-26,28,38,5.48,91.46,8791.99
REC-64830300,2020-08-25,12,27,5.02,94.48,4930.21
REC-89699989,2021-11-21,87,17,4.52,94.92,2003.93
REC-49092160,2021-03-09,88,12,3.75,91.82,3093.72
REC-41068214,2024-08-09,47,48,5.29,94.3,3133.78
REC-47945817,2021-12-04,79,47,2.32,95.33,9960.34
REC-19553585,2019-12-29,23,22,6.99,98.58,4138.58
REC-45507920,2020-08-03,69,43,3.9,98.98,9086.84
REC-67061186,2023-05-14,90,48,3.26,99.65,2808.07
REC-83089925,2022-08-11,4,44,6.42,97.14,8199.64
REC-96924061,2022-05-03,24,34,4.11,90.73,6305.65
REC-45652586,2023-05-19,15,49,2.56,92.97,106.21
REC-19584466,2024-01-07,14,35,1.58,92.74,3268.56
REC-32269779,2020-08-26,78,48,1.47,91.92,4797.99
REC-89865458,2022-12-11,72,32,6.61,97.26,9185.95
REC-68942178,2024-07-28,79,6,2.94,95.44,5561.95
REC-72907576,2021-04-14,60,37,3.51,97.76,3453.46
REC-64023778,2021-11-01,94,28,1.76,91.79,4981.0
REC-77172238,2020-01-17,71,19,5.37,95.28,2100.6
REC-76276072,2023-05-18,25,43,1.11,91.02,4163.94
REC-20796722,2019-09-07,13,9,4.75,99.46,5839.74
REC-67985905,2024-02-03,95,49,5.38,98.89,710.58
REC-91029073,2024-03-31,99,11,2.19,93.19,5975.61
REC-13471527,2021-05-06,23,37,5.7,99.37,6950.08
REC-40725714,2022-10-07,92,41,2.55,93.37,4082.38
REC-46173157,2023-05-03,56,36,5.79,97.07,1984.78
REC-33513701,2020-04-06,94,46,3.27,98.43,6477.71
REC-79654147,2022-06-23,44,41,1.06,90.91,5612.7
REC-47333543,2022-05-04,9,18,6.11,91.57,9750.12
REC-88561612,2020-09-23,97,43,4.92,92.56,3709.21
REC-95199362,2022-03-23,56,41,3.71,91.43,3955.4
REC-22246348,2023-12-25,38,42,4.79,91.64,5699.47
REC-56702542,2022-04-19,59,48,5.34,95.77,6512.43
REC-54735895,2023-02-21,9,24,2.42,99.79,3925.04
REC-99943797,2022-06-11,30,37,5.95,94.18,823.54
