record_id,date,employee_id,employee_productivity,labor_costs,hours_worked
REC-28740864,2020-01-22,EMP-5040,105.03,99953.71,53.01
REC-85345555,2021-08-10,EMP-9830,104.86,70272.04,29.29
REC-45264581,2022-02-17,EMP-8019,112.72,69542.36,49.66
REC-88320463,2020-05-06,EMP-7543,109.28,31063.17,53.86
REC-58586340,2021-08-25,EMP-4593,95.94,102679.88,58.36
REC-28566572,2020-07-11,EMP-9348,115.35,90723.86,26.1
REC-76238574,2022-11-26,EMP-2489,110.25,53214.64,32.46
REC-16323852,2022-01-12,EMP-2796,80.78,54695.32,49.5
REC-30514014,2023-07-11,EMP-3621,60.79,86353.74,27.12
REC-66661351,2022-10-09,EMP-2040,72.31,39068.77,21.46
REC-61642594,2021-01-19,EMP-7252,64.53,95324.62,30.89
REC-89978790,2022-10-26,EMP-8668,80.36,76944.35,55.5
REC-81016525,2022-09-09,EMP-5119,65.22,83324.08,49.44
REC-84252722,2021-06-13,EMP-1188,109.84,54519.21,50.95
REC-25374874,2021-12-09,EMP-9797,92.5,83347.82,30.32
REC-45812670,2020-04-10,EMP-6573,64.03,60524.81,39.9
REC-24972279,2021-02-14,EMP-5808,106.25,62203.61,34.15
REC-68353204,2024-03-18,EMP-3591,83.8,115408.69,25.4
REC-70897765,2021-10-01,EMP-1053,103.69,69549.13,47.54
REC-45351479,2021-01-21,EMP-9201,107.4,89056.02,40.85
REC-33978249,2023-08-08,EMP-9317,119.26,114405.93,21.58
REC-24282218,2022-11-23,EMP-5889,107.72,94506.45,22.2
REC-95758349,2021-12-18,EMP-9317,63.92,51529.03,41.58
REC-91734598,2024-05-28,EMP-4258,83.04,113258.99,22.8
REC-30513739,2021-07-15,EMP-7126,74.33,31047.41,34.18
REC-31682744,2022-06-05,EMP-9837,75.54,78855.42,59.29
REC-81182864,2020-02-22,EMP-1009,73.84,37652.8,28.82
REC-90388981,2021-08-13,EMP-6310,113.85,66338.07,44.92
REC-75579548,2019-12-10,EMP-1319,108.57,85524.2,42.03
REC-25014631,2022-05-09,EMP-6947,89.71,68058.66,43.7
REC-51273847,2023-01-30,EMP-4923,80.04,43869.0,57.2
REC-17774584,2021-12-11,EMP-4946,60.07,75618.17,50.27
REC-86149359,2020-03-25,EMP-2290,61.11,63224.08,53.6
REC-21496211,2021-06-18,EMP-8962,63.48,27469.44,54.1
REC-19289546,2024-06-29,EMP-9727,101.0,64590.27,30.95
REC-26879290,2022-05-06,EMP-3103,112.08,116323.67,21.25
REC-98550256,2021-06-23,EMP-8787,99.1,56852.63,54.57
REC-83793389,2023-12-01,EMP-3705,115.25,81665.03,51.86
REC-45575298,2023-01-13,EMP-9645,78.62,65522.01,20.46
REC-91415657,2023-07-28,EMP-7932,66.17,77090.45,20.73
REC-38427073,2020-11-18,EMP-9835,94.05,88946.5,52.02
REC-36998038,2021-12-02,EMP-6107,116.84,82530.47,51.34
REC-63551839,2020-11-08,EMP-7118,99.02,67927.89,44.63
REC-68800797,2021-10-07,EMP-9479,89.6,28152.65,36.13
REC-70597444,2024-06-11,EMP-2982,90.29,74330.05,40.56
REC-43273328,2024-04-02,EMP-4681,74.15,97600.02,36.21
REC-18593410,2021-11-26,EMP-6539,83.46,116941.23,30.33
REC-12823170,2024-08-22,EMP-4770,100.16,34575.66,37.98
REC-88979095,2023-04-25,EMP-4608,111.85,75814.02,41.6
REC-10965138,2024-08-18,EMP-2163,62.49,34834.32,59.47
REC-94705205,2023-01-24,EMP-1964,67.96,34354.24,57.59
REC-40728046,2022-09-30,EMP-2104,100.99,69717.48,44.71
REC-14216175,2021-07-14,EMP-6413,80.91,35928.74,44.2
REC-19510312,2020-11-04,EMP-9423,108.47,96228.51,51.91
REC-41944441,2024-01-02,EMP-5562,74.25,57325.18,29.09
REC-99788677,2023-11-13,EMP-8953,68.94,72662.38,29.84
REC-38754377,2020-06-10,EMP-9834,82.8,39715.41,39.17
REC-27758595,2020-01-26,EMP-8744,76.36,61354.91,24.88
REC-42614537,2020-08-07,EMP-8749,108.94,57350.97,41.06
REC-64634663,2020-12-19,EMP-4119,78.12,93195.81,54.05
REC-22660194,2021-01-11,EMP-2588,98.52,80709.4,41.87
REC-98447167,2023-04-05,EMP-8062,60.95,54109.0,52.75
REC-57553014,2020-03-17,EMP-7939,64.17,71905.98,22.7
REC-65177213,2022-12-10,EMP-8651,93.47,93065.05,38.61
REC-17270733,2022-11-30,EMP-2612,99.89,99545.0,57.09
REC-18135295,2023-08-26,EMP-7596,111.88,80848.64,40.27
REC-55540424,2024-03-02,EMP-2790,116.54,107333.67,26.47
REC-43374088,2021-10-22,EMP-4139,108.36,99003.04,32.19
REC-35529407,2024-05-16,EMP-9786,96.38,33919.8,55.93
REC-70211891,2019-10-07,EMP-3296,117.95,63249.79,32.47
REC-66623995,2020-08-22,EMP-4006,72.71,68460.16,50.17
REC-47385696,2024-03-27,EMP-8579,73.73,43264.55,28.83
REC-43528453,2021-12-08,EMP-2235,83.22,116382.23,29.94
REC-69476001,2022-07-24,EMP-2604,63.88,24263.32,34.86
REC-16789850,2020-08-13,EMP-9856,83.67,65944.68,51.4
REC-11980765,2022-03-01,EMP-2528,98.23,85935.39,55.8
REC-41726318,2023-05-14,EMP-3724,99.54,100213.06,24.21
REC-64547971,2021-01-05,EMP-8956,64.12,62429.69,23.3
REC-74606833,2023-07-12,EMP-4502,91.82,24195.12,58.74
REC-63826716,2019-09-12,EMP-1960,73.48,57216.7,37.28
REC-32097220,2021-11-28,EMP-7209,75.51,74401.66,45.44
REC-10289289,2023-12-05,EMP-7396,69.89,33172.88,49.04
REC-45594951,2021-03-10,EMP-8454,112.4,83629.14,50.44
REC-48285503,2023-12-27,EMP-7930,108.91,81497.82,47.52
REC-84593961,2020-07-28,EMP-8973,110.52,67031.91,40.08
REC-30776478,2022-03-17,EMP-4111,70.88,58767.36,36.09
REC-49823450,2023-12-27,EMP-4566,79.33,83649.07,25.96
REC-17849494,2021-05-11,EMP-9883,73.24,79822.53,49.43
REC-18181586,2020-12-19,EMP-6138,72.18,76555.0,59.19
REC-17672593,2022-11-06,EMP-1821,87.7,68090.6,37.41
REC-88406989,2021-01-15,EMP-8811,68.12,95137.51,46.28
REC-77491435,2024-04-03,EMP-9701,76.09,35638.18,54.12
REC-31130263,2024-03-06,EMP-1931,112.93,59344.78,53.11
REC-78159587,2019-09-03,EMP-2312,80.97,31409.58,26.05
REC-34941004,2022-06-05,EMP-2122,64.9,65830.06,39.39
REC-89864260,2023-10-29,EMP-2113,118.68,99398.97,39.89
REC-41568532,2019-11-01,EMP-7615,105.04,75798.07,42.1
REC-26090908,2020-08-14,EMP-5033,71.2,29403.61,34.27
REC-87701200,2022-10-03,EMP-1651,81.79,109718.63,26.75
REC-93131979,2022-04-14,EMP-2343,108.22,70520.68,58.69
REC-66267415,2021-09-14,EMP-9565,109.38,40975.29,35.16
REC-52462441,2020-02-28,EMP-5272,89.65,102824.93,33.41
REC-37415205,2021-09-19,EMP-6147,94.63,93806.91,52.25
REC-42035886,2024-06-29,EMP-5351,64.36,27707.8,33.62
REC-63121477,2020-05-03,EMP-3144,99.9,46028.69,56.29
REC-96637649,2020-05-25,EMP-5915,61.08,62144.4,21.09
REC-71367643,2023-10-20,EMP-6180,91.96,83508.91,37.99
REC-19736572,2020-04-04,EMP-1152,104.59,24814.28,56.12
REC-71510041,2024-03-14,EMP-2638,91.29,26364.09,53.25
REC-19832887,2020-09-26,EMP-9808,86.08,97387.97,44.08
REC-38609087,2020-10-04,EMP-9288,75.76,47156.88,38.92
REC-45594597,2023-09-17,EMP-3170,71.77,81078.01,31.23
REC-56843172,2024-05-06,EMP-2127,77.61,113175.37,35.88
REC-42787299,2021-01-27,EMP-7054,83.67,62182.82,36.44
REC-48250360,2021-12-03,EMP-3584,62.43,107159.77,30.27
REC-68812137,2024-02-27,EMP-9900,100.11,87867.0,34.48
REC-50603163,2023-04-08,EMP-9666,60.7,62203.43,31.8
REC-11049999,2021-06-21,EMP-5905,100.38,47538.12,32.25
REC-99038526,2024-04-03,EMP-2697,83.58,72581.26,40.47
REC-28024248,2021-05-18,EMP-5333,84.58,51121.75,47.08
REC-25492573,2022-04-27,EMP-2753,68.15,29930.22,28.35
REC-84252420,2023-01-23,EMP-3546,119.69,74538.11,23.53
REC-46553958,2022-11-05,EMP-5616,86.43,50233.32,30.37
REC-91178885,2023-05-25,EMP-4450,109.01,40730.9,51.3
REC-56020613,2024-01-27,EMP-4335,117.84,110945.46,48.89
REC-95125977,2023-07-05,EMP-5325,90.77,29367.24,50.18
REC-77834855,2020-09-11,EMP-9004,86.61,80211.7,43.66
REC-43704923,2021-10-11,EMP-1832,90.63,82659.25,57.06
REC-22388090,2021-07-31,EMP-7939,91.71,99339.4,59.62
REC-47135391,2020-03-18,EMP-1722,99.51,96611.59,53.84
REC-10475894,2022-07-18,EMP-6464,60.37,30094.12,54.76
REC-27558317,2019-11-06,EMP-5291,77.55,35232.96,30.65
REC-31687165,2024-05-18,EMP-8239,90.19,64934.97,43.43
REC-84045292,2021-08-16,EMP-8007,103.24,60144.56,26.34
REC-85283645,2021-07-17,EMP-1158,95.0,66696.8,33.61
REC-25015458,2019-09-24,EMP-2232,82.64,113632.12,47.01
REC-30005727,2020-04-09,EMP-9938,117.05,90254.05,31.92
REC-14835614,2020-03-02,EMP-7049,60.17,105895.67,27.44
REC-88183110,2021-08-13,EMP-3426,115.85,32572.43,49.48
REC-67684996,2020-03-29,EMP-3088,76.06,103548.02,20.59
REC-15614174,2019-12-08,EMP-6050,117.81,71903.23,47.1
REC-58942697,2022-06-24,EMP-1653,61.05,49330.86,50.93
REC-58024342,2020-04-09,EMP-4441,96.37,49114.42,28.28
REC-43491314,2024-01-16,EMP-2684,91.84,85095.73,45.78
REC-57469942,2021-09-10,EMP-7658,83.29,87413.03,30.4
REC-93303777,2022-01-14,EMP-3532,62.67,61564.22,32.08
REC-41774346,2023-10-19,EMP-3662,86.73,40918.55,22.0
REC-33763566,2021-06-28,EMP-7755,73.15,65896.35,56.78
REC-13326769,2024-04-03,EMP-3938,105.44,36167.14,39.08
REC-54585178,2020-10-17,EMP-7745,82.62,75199.03,52.19
REC-99913412,2024-07-11,EMP-5065,69.23,119008.64,58.19
REC-45810056,2024-07-27,EMP-3608,93.84,55857.85,46.27
REC-24508349,2023-09-09,EMP-7267,117.03,78162.23,37.46
REC-15197528,2021-09-25,EMP-8711,89.85,40468.01,43.65
REC-39854548,2023-09-10,EMP-4269,62.86,92674.92,50.96
REC-71780854,2023-02-17,EMP-6728,63.28,117307.82,29.05
REC-50962024,2021-04-15,EMP-4728,113.76,101802.67,30.11
REC-39920292,2020-06-21,EMP-1387,105.23,22067.14,30.76
REC-98588154,2020-06-29,EMP-4164,82.16,113292.49,53.1
REC-63481198,2023-05-03,EMP-6378,72.8,86514.62,26.29
REC-47393469,2022-09-06,EMP-2137,61.51,103899.73,20.46
REC-47463522,2023-04-10,EMP-6753,67.11,116151.33,48.58
REC-96098221,2023-03-02,EMP-9346,111.04,118190.57,45.12
REC-63643924,2023-08-22,EMP-9785,64.1,98375.98,31.43
REC-54446182,2020-02-17,EMP-1452,105.06,30137.29,31.11
REC-25480907,2020-07-03,EMP-5279,94.93,40444.06,40.79
REC-33966966,2020-03-08,EMP-5349,64.1,63037.47,47.83
REC-15134794,2023-02-03,EMP-2776,95.86,106609.56,57.87
REC-90070438,2022-07-22,EMP-8119,83.14,113626.71,41.68
REC-56397338,2020-08-06,EMP-6139,104.9,111454.87,37.36
REC-68571795,2021-10-13,EMP-9379,63.0,111152.13,21.18
REC-25521714,2021-04-19,EMP-7311,113.1,58328.42,39.74
REC-87388337,2021-04-14,EMP-4114,113.72,86646.3,51.5
REC-44188276,2024-03-25,EMP-1727,86.64,22191.33,32.04
REC-68526649,2023-06-26,EMP-1027,71.14,86421.94,55.27
REC-79782527,2020-11-10,EMP-9821,107.36,50779.58,56.55
REC-36445607,2023-04-04,EMP-6967,100.62,103790.84,54.35
REC-67887757,2021-03-25,EMP-2146,103.94,71493.33,26.45
REC-99152472,2022-01-14,EMP-6409,63.46,59103.29,29.37
REC-93638503,2023-08-09,EMP-6143,84.72,107052.7,45.26
REC-99038359,2021-10-17,EMP-3041,90.47,61927.17,20.72
REC-50308572,2020-04-23,EMP-9308,112.45,40343.65,25.1
REC-51511484,2023-06-09,EMP-7691,72.21,26697.36,55.09
REC-53779528,2024-05-07,EMP-7592,62.57,64638.69,22.8
REC-49682169,2020-07-02,EMP-3085,82.39,83198.87,23.81
REC-35748341,2020-02-06,EMP-7888,83.2,86248.39,33.88
REC-99245317,2024-04-07,EMP-7211,83.17,78850.49,27.41
REC-33357554,2019-10-17,EMP-5930,107.77,47194.6,47.69
REC-64502486,2020-06-17,EMP-9977,108.9,97802.52,50.43
REC-10054484,2021-09-05,EMP-5978,97.8,105812.04,51.35
REC-48508907,2021-01-30,EMP-4443,109.6,110309.37,57.34
REC-67698610,2023-02-15,EMP-6279,78.77,85434.2,29.28
REC-72409658,2023-10-19,EMP-8238,83.44,26932.83,45.53
REC-69345683,2023-10-06,EMP-4501,118.87,84950.89,52.18
REC-78608612,2021-06-27,EMP-8752,101.83,84863.9,31.01
REC-32775593,2023-01-29,EMP-2389,101.98,103815.5,52.11
REC-48089166,2020-03-02,EMP-9445,95.64,90264.02,22.66
REC-99100953,2021-01-25,EMP-6491,113.07,32522.06,28.02
REC-22534217,2022-11-22,EMP-4848,65.11,58559.76,22.84
REC-51663795,2019-09-08,EMP-4680,60.52,35557.14,28.29
REC-36726767,2022-12-27,EMP-3414,80.56,106465.89,26.2
REC-13278320,2021-12-03,EMP-1757,86.5,118423.45,35.83
REC-42862209,2023-07-16,EMP-8784,119.37,108951.93,34.86
REC-92043803,2022-02-04,EMP-2193,105.75,32600.2,27.86
REC-71124923,2023-04-08,EMP-7790,94.25,38527.04,31.15
REC-94525678,2024-05-24,EMP-4185,65.22,75678.49,53.8
REC-61536717,2023-10-23,EMP-9099,97.64,95026.58,26.08
REC-63640499,2020-12-25,EMP-4997,106.35,90248.83,44.61
REC-29806690,2021-04-13,EMP-1090,73.6,87003.25,38.73
REC-24305904,2022-03-11,EMP-7965,62.98,92459.83,24.46
REC-39372360,2021-07-09,EMP-3881,93.95,112914.47,35.49
REC-79519112,2020-03-01,EMP-8611,96.69,87850.0,32.7
REC-16740197,2024-08-05,EMP-5082,107.67,47812.92,25.69
REC-26288475,2024-04-12,EMP-8478,95.71,35047.23,58.72
REC-27896471,2020-03-09,EMP-8612,63.34,20687.8,28.5
REC-99600766,2022-05-03,EMP-9702,109.86,31989.11,49.4
REC-85017682,2020-02-26,EMP-6198,99.52,113155.49,52.84
REC-69401199,2020-02-04,EMP-9270,65.53,78507.84,29.05
REC-67276174,2024-08-20,EMP-9976,85.87,54751.88,22.01
REC-69849511,2023-09-22,EMP-3607,81.05,56255.98,52.23
REC-73709724,2023-12-12,EMP-8373,106.89,47575.74,28.17
REC-44788100,2024-03-09,EMP-5050,93.73,91475.33,22.74
REC-95585469,2021-01-03,EMP-5543,113.96,116226.14,37.76
REC-79967676,2020-02-25,EMP-8939,70.09,107933.02,42.28
REC-94120751,2023-12-27,EMP-4919,100.65,62845.79,49.26
REC-46855845,2020-05-07,EMP-8206,92.85,47438.46,56.06
REC-20399639,2021-04-01,EMP-5681,108.33,114675.62,36.01
REC-41473195,2020-04-01,EMP-5451,89.81,111694.2,51.05
REC-55076693,2020-03-31,EMP-6238,74.03,22370.78,53.4
REC-82498004,2021-09-01,EMP-2320,95.0,21130.25,51.49
REC-28572252,2023-02-07,EMP-3471,90.79,39444.76,23.73
REC-41039390,2020-09-08,EMP-7275,65.01,41112.59,50.1
REC-30509175,2024-07-06,EMP-4505,92.84,93390.54,33.86
REC-18620650,2021-10-05,EMP-7797,113.74,49728.72,29.2
REC-64707061,2024-08-04,EMP-6421,61.8,64452.83,40.18
REC-82828034,2020-01-03,EMP-8633,79.82,76423.18,54.02
REC-65804273,2020-05-13,EMP-2020,77.64,41031.86,50.61
REC-37760841,2023-03-27,EMP-7883,105.95,20540.49,20.05
REC-62274692,2024-08-19,EMP-1320,110.97,24499.68,49.37
REC-87267850,2024-06-23,EMP-7232,103.46,69259.9,45.34
REC-74019136,2024-02-12,EMP-1096,84.4,34328.15,48.59
REC-57212267,2022-05-11,EMP-5892,73.07,86183.46,45.35
REC-62343121,2021-11-20,EMP-7865,89.94,51826.2,55.77
REC-82238741,2021-05-28,EMP-9947,117.46,76574.5,40.58
REC-90967191,2022-05-05,EMP-4613,118.61,60472.51,23.51
REC-75529051,2021-09-12,EMP-4595,97.94,32832.59,43.14
REC-46632757,2021-12-05,EMP-8140,89.52,99650.85,29.3
REC-75181765,2023-01-13,EMP-1475,64.0,24809.23,31.83
REC-62191530,2020-10-12,EMP-6507,71.4,90173.83,42.26
REC-99774697,2022-03-22,EMP-7624,84.74,113472.99,30.04
REC-32151928,2023-07-23,EMP-8657,66.85,114104.83,54.91
REC-27129912,2022-05-11,EMP-9751,70.83,46247.06,41.01
REC-13619375,2020-04-14,EMP-7455,94.62,54548.09,52.12
REC-89442503,2019-09-30,EMP-1444,105.31,78662.39,53.14
REC-21267237,2023-07-26,EMP-8022,62.42,60542.28,40.65
REC-28213276,2024-06-16,EMP-8564,81.09,81037.75,20.96
REC-34391257,2020-07-08,EMP-1823,81.19,99978.34,42.19
REC-44917589,2020-04-16,EMP-7211,61.26,101960.96,52.99
REC-53936531,2024-03-29,EMP-4467,83.11,105480.58,58.1
REC-71028710,2021-06-25,EMP-6355,117.59,24869.48,23.92
REC-55298556,2023-12-21,EMP-7211,67.4,71856.17,29.83
REC-47346970,2021-12-03,EMP-7906,79.87,96597.16,36.55
REC-43859311,2020-10-17,EMP-2341,107.85,87754.58,41.88
REC-73123515,2022-08-21,EMP-1317,83.96,60967.29,59.13
REC-82399599,2020-04-02,EMP-1853,87.58,87576.13,44.74
REC-56970882,2021-09-29,EMP-4673,81.26,50282.99,49.24
REC-97260863,2022-10-24,EMP-2124,75.27,67302.75,21.73
REC-97477029,2022-02-03,EMP-1659,101.64,38275.12,32.76
REC-14164775,2021-01-04,EMP-5051,84.44,72137.7,55.86
REC-36757737,2023-05-25,EMP-1333,79.65,36462.05,27.25
REC-93394260,2024-04-15,EMP-3496,77.0,60031.28,52.47
REC-42016960,2022-03-29,EMP-3068,100.74,113174.04,59.88
REC-73560289,2024-03-02,EMP-2874,114.7,24028.89,40.49
REC-85694715,2019-09-26,EMP-4571,70.95,116520.96,37.13
REC-72415804,2024-05-21,EMP-5198,107.0,110925.27,34.81
REC-59512272,2022-03-20,EMP-3749,64.94,79996.79,39.43
REC-91321540,2020-07-19,EMP-2876,98.74,71057.04,24.8
REC-31980274,2020-10-23,EMP-6096,108.19,118656.31,43.91
REC-24508768,2021-12-01,EMP-1420,100.6,83604.73,36.07
REC-51870192,2020-08-25,EMP-7149,81.78,107927.96,49.01
REC-63238057,2020-07-30,EMP-4249,106.53,59312.18,25.57
REC-20200074,2024-05-16,EMP-4978,63.79,59675.51,38.96
REC-23676961,2020-12-27,EMP-5941,79.25,79605.01,59.83
REC-90585882,2021-12-26,EMP-2983,109.33,95284.87,49.31
REC-85958181,2022-01-24,EMP-1672,115.07,30802.9,29.31
REC-56600900,2021-06-17,EMP-9728,61.9,73496.67,21.51
REC-67495923,2022-08-02,EMP-7071,60.42,60348.1,29.39
REC-19255216,2021-05-26,EMP-9289,81.8,63864.75,59.1
REC-96911784,2021-11-30,EMP-6590,67.35,83490.67,24.95
REC-11698142,2023-12-20,EMP-7882,88.97,41228.56,24.62
REC-75793759,2023-10-28,EMP-2729,95.53,90093.54,27.77
REC-68186525,2021-10-21,EMP-6934,76.44,115564.95,58.15
REC-95306788,2020-02-06,EMP-8532,80.56,82766.89,27.68
REC-30534124,2020-06-14,EMP-8135,109.49,88881.05,42.08
REC-33640702,2023-04-10,EMP-9548,88.14,100093.87,27.21
REC-97302916,2022-01-08,EMP-5425,64.83,34716.33,31.92
REC-92666356,2020-01-16,EMP-9817,86.63,48236.79,23.24
REC-74893936,2019-09-13,EMP-8616,112.85,24960.59,30.28
REC-68461818,2022-07-04,EMP-5397,93.21,49923.2,37.23
REC-53258988,2020-10-12,EMP-5022,83.7,25126.35,36.08
REC-21631697,2021-11-23,EMP-5569,61.61,58048.19,24.25
REC-70505620,2021-01-16,EMP-4995,72.36,20094.34,21.57
REC-72372114,2023-06-05,EMP-7209,85.1,50941.28,57.47
REC-55150390,2024-05-12,EMP-1470,112.18,28813.44,51.07
REC-76344695,2023-04-22,EMP-6325,110.19,90433.53,57.14
REC-34406132,2024-06-09,EMP-8988,91.95,76441.66,44.02
REC-38470244,2019-10-02,EMP-6813,96.15,68978.59,41.15
REC-44675473,2020-08-14,EMP-6576,80.82,113286.77,56.91
REC-47535126,2020-04-22,EMP-5526,70.78,48135.06,38.3
REC-84597009,2020-12-08,EMP-1166,62.19,25274.4,53.37
REC-79340535,2024-04-23,EMP-4130,97.03,108480.79,29.25
REC-21490777,2019-12-22,EMP-4954,105.47,48191.84,32.72
REC-64549859,2022-10-23,EMP-9004,105.11,110623.35,49.74
REC-84514489,2024-08-15,EMP-4937,112.79,84868.3,55.97
REC-73900135,2024-05-14,EMP-9041,73.55,81662.2,21.61
REC-70152969,2020-12-05,EMP-1282,60.53,58213.29,32.07
REC-22489409,2023-04-29,EMP-5820,65.95,62864.43,45.14
REC-39742165,2020-10-01,EMP-7625,103.06,117661.76,35.09
REC-42655866,2020-01-09,EMP-6016,74.55,49169.35,56.97
REC-99115205,2022-04-16,EMP-7046,99.88,61933.47,48.04
REC-73519947,2022-10-08,EMP-9698,103.04,78207.01,51.91
REC-56138336,2020-01-03,EMP-7971,72.24,102646.46,42.31
REC-83871890,2022-09-17,EMP-6419,73.65,36618.5,33.31
REC-57219209,2021-06-15,EMP-8434,67.48,116141.45,45.44
REC-46361787,2021-10-16,EMP-6023,113.6,63283.99,41.42
REC-43742830,2020-07-17,EMP-4777,117.53,34281.43,43.19
REC-26194158,2022-09-04,EMP-4155,65.22,50321.98,58.66
REC-52352128,2024-06-06,EMP-2958,75.46,64994.37,47.72
REC-81922443,2023-02-15,EMP-4033,63.54,47166.42,24.15
REC-35708194,2020-12-25,EMP-4545,89.05,99401.45,43.06
REC-74988034,2021-09-06,EMP-5530,94.27,106343.16,25.58
REC-89133014,2021-01-18,EMP-9595,117.49,44763.16,33.92
REC-90099897,2021-03-05,EMP-5636,68.34,94729.76,21.92
REC-23492385,2023-03-05,EMP-4180,82.85,69604.27,20.31
REC-49761527,2019-11-18,EMP-4727,64.14,68354.99,28.8
REC-58436637,2021-03-12,EMP-3939,118.59,115466.64,52.01
REC-50569669,2022-06-30,EMP-1231,73.94,83563.2,59.72
REC-81690398,2023-03-04,EMP-3073,73.51,86231.79,44.39
REC-46817443,2021-10-12,EMP-1745,102.87,64462.77,21.08
REC-17318358,2021-12-08,EMP-5786,78.25,82110.63,32.07
REC-26948946,2021-01-08,EMP-9042,64.89,63501.46,31.71
REC-23769080,2020-08-02,EMP-1200,86.14,32908.62,49.69
REC-87049595,2022-12-03,EMP-5658,66.75,93592.04,31.0
REC-73001391,2019-12-31,EMP-8843,118.54,26527.68,52.87
REC-69118721,2023-09-03,EMP-6582,95.56,102503.53,54.33
REC-34744872,2021-07-24,EMP-1841,99.73,91532.23,30.73
REC-43887075,2021-05-14,EMP-8827,109.28,44465.51,36.85
REC-25312516,2023-08-02,EMP-2070,86.28,54239.51,41.86
REC-63782042,2022-08-23,EMP-9056,72.17,119831.88,41.65
REC-19943140,2022-04-07,EMP-1878,67.57,32985.7,47.05
REC-30364454,2021-08-09,EMP-3444,100.37,69722.92,58.01
REC-85543051,2021-07-25,EMP-5978,89.01,21464.71,56.85
REC-21432787,2019-11-14,EMP-5066,115.68,36542.02,20.09
REC-25898299,2021-04-24,EMP-7818,70.12,116832.7,38.12
REC-91378577,2023-01-21,EMP-4697,85.41,65236.68,49.35
REC-80138498,2022-06-17,EMP-7232,87.33,109097.39,42.78
REC-70467027,2022-01-14,EMP-8253,73.42,105709.69,52.68
REC-49910061,2020-04-04,EMP-8025,75.17,26728.46,30.72
REC-50987442,2022-01-16,EMP-1986,99.14,60519.71,43.84
